#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
10.0,"Maddux, Dylan 10Maddux, Dylan",20,16,1330,5,4,14,32,0.156,15,0.469,1-0,1,0-1,View Bio
13.0,"Northing, Oliver 13Northing, Oliver",19,18,1489,5,4,14,48,0.104,22,0.458,4-0,3,0-0,View Bio
3.0,"Cherres, Billy 3Cherres, Billy",15,13,820,3,4,10,9,0.333,6,0.667,3-1,0,0-0,View Bio
11.0,"Gojjam, Samuel 11Gojjam, Samuel",20,12,1007,4,1,9,34,0.118,16,0.471,2-0,2,0-0,View Bio
20.0,"Bayliss, Sam 20Bayliss, Sam",17,7,599,4,0,8,12,0.333,6,0.5,1-1,1,0-0,View Bio
9.0,"Hong, Anthony 9Hong, Anthony",20,11,1105,3,2,8,31,0.097,17,0.548,1-0,0,0-1,View Bio
15.0,"Willoughby, Jaxon 15Willoughby, Jaxon",15,8,620,2,3,7,13,0.154,5,0.385,2-1,0,0-0,View Bio
7.0,"Miseda, Jimmy 7Miseda, Jimmy",14,4,482,3,0,6,19,0.158,7,0.368,1-0,0,0-0,View Bio
29.0,"Suzuki, Soma 29Suzuki, Soma",17,1,333,2,1,5,8,0.25,3,0.375,3-0,1,0-0,View Bio
23.0,"Hoereth, Caleb 23Hoereth, Caleb",19,19,1480,2,0,4,7,0.286,3,0.429,0-0,0,0-0,View Bio
5.0,"Murphy, Peter 5Murphy, Peter",20,15,1222,1,2,4,23,0.043,8,0.348,1-0,0,0-0,View Bio
16.0,"Gould, Ezra 16Gould, Ezra",18,14,1119,1,1,3,2,0.5,1,0.5,0-0,1,0-0,View Bio
17.0,"Oni, Demi 17Oni, Demi",20,3,643,0,2,2,25,0.0,7,0.28,2-0,0,0-1,View Bio
1.0,"Benson, Carter 1Benson, Carter",16,16,1307,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
25.0,"Bernardo, Antonio 25Bernardo, Antonio",12,4,449,0,0,0,2,0.0,1,0.5,1-0,0,0-0,View Bio
27.0,"Burns, Caleb 27Burns, Caleb",19,8,786,0,0,0,2,0.0,1,0.5,1-0,0,0-0,View Bio
21.0,"Carne, Wesley 21Carne, Wesley",8,1,149,0,0,0,3,0.0,1,0.333,0-0,0,0-0,View Bio
19.0,"Fahmy, Nick 19Fahmy, Nick",5,0,123,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
2.0,"Huang, Ryan 2Huang, Ryan",12,7,582,0,0,0,2,0.0,1,0.5,0-0,0,0-0,View Bio
14.0,"Kaplan, Jonah 14Kaplan, Jonah",3,2,137,0,0,0,5,0.0,2,0.4,1-0,0,0-0,View Bio
0.0,"Kolmer, Jefferson 0Kolmer, Jefferson",2,1,104,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Kunkel, Jayson 00Kunkel, Jayson",7,3,409,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
4.0,"Larson, Evan 4Larson, Evan",20,20,1630,0,0,0,5,0.0,1,0.2,1-0,0,0-0,View Bio
8.0,"Milenge, Moise 8Milenge, Moise",13,0,126,0,0,0,4,0.0,3,0.75,2-0,0,0-1,View Bio
22.0,"Murray, Declan 22Murray, Declan",2,0,20,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
6.0,"Serby, Zak 6Serby, Zak",18,15,1359,0,0,0,23,0.0,7,0.304,3-1,0,0-0,View Bio
12.0,"Wilson, Owen 12Wilson, Owen",13,2,465,0,0,0,3,0.0,2,0.667,0-0,0,0-0,View Bio
28.0,"Zhou, David 28Zhou, David",5,0,53,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,20,-,19948,35,24,94,315,0.111,136,0.432,31-4,9,0-4,
,Opponent,20,-,19974,22,13,57,236,0.093,106,0.449,42-2,6,4-6,
