Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
08/30/2024,Coe,0-0,0,0,0,10,0.0,4,0.4,4-0,0,0-0,990
09/02/2024,Millikin,2-1,2,2,6,15,0.133,3,0.2,1-1,1,0-0,990
09/08/2024,Eureka,0-1,0,0,0,8,0.0,3,0.375,4-0,0,0-0,990
09/10/2024,Central (IA),2-2,2,2,6,11,0.182,3,0.273,2-0,0,0-0,990
09/14/2024,Carleton,1-1,1,0,2,19,0.053,5,0.263,0-0,0,0-0,990
09/15/2024,Macalester,4-0,4,2,10,17,0.235,11,0.647,1-0,1,0-0,990
09/21/2024,Neb. Wesleyan,4-1,4,1,9,18,0.222,12,0.667,1-0,1,0-0,990
09/24/2024,Simpson,2-3,2,2,6,22,0.091,8,0.364,0-0,0,0-0,990
09/28/2024,Lake Forest,3-3,3,2,8,15,0.2,9,0.6,5-0,0,0-0,990
10/01/2024,Knox,0-0,0,0,0,8,0.0,2,0.25,1-0,0,0-0,990
10/05/2024,Ripon,1-3,1,0,2,10,0.1,5,0.5,2-0,0,0-0,990
10/12/2024,Illinois Col.,3-1,3,1,7,8,0.375,4,0.5,3-0,1,1-1,990
10/19/2024,Augustana (IL),2-4,2,0,4,11,0.182,5,0.455,2-0,0,0-0,990
10/20/2024,Buena Vista,0-7,0,0,0,2,0.0,1,0.5,2-0,0,0-0,989
10/23/2024,Cornell College,0-1,0,0,0,4,0.0,0,0.0,5-1,0,0-0,976
10/26/2024,Beloit,2-8,2,0,4,4,0.5,2,0.5,0-0,0,0-0,990
10/29/2024,Monmouth (IL),1-0,1,1,3,13,0.077,7,0.538,2-0,1,0-0,990
11/02/2024,Lawrence,1-3,1,1,3,9,0.111,3,0.333,2-0,0,0-0,990
11/08/2024,Lake Forest,4-1,4,3,11,14,0.286,9,0.643,1-0,1,1-1,990
Total,,32-40,32,17,81,218,0.147,96,0.44,38-2,6,2-2,18795
Grinnell,,-,40,42,122,240,0.167,131,0.546,31-1,8,-,18799
