Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
08/30/2024,at Coe,T,0-0,"(0-0-1, 0-0-0)",0-0-0,49,
09/02/2024,vs Millikin,L,1-2,"(0-1-1, 0-0-0)",0-0-0,70,Demi Oni (1) (Samuel Gojjam)
09/08/2024,vs Eureka,W,1-0,"(1-1-1, 0-0-0)",0-0-0,40,Dylan Maddux (1) (Billy Cherres)
09/10/2024,vs Central (IA),T,2-2,"(1-1-2, 0-0-0)",0-0-0,62,"Samuel Gojjam (1) (Soma Suzuki , Ezra Gould)  Jake Brecknock (1) (Dylan Maddux , Jaxon Willoughby)"
09/14/2024,at Carleton,T,1-1,"(1-1-3, 0-0-0)",0-0-0,324,"Samuel Gojjam (2) (Dylan Maddux , Ezra Gould)"
09/15/2024,at Macalester,L,0-4,"(1-2-3, 0-0-0)",0-0-0,157,
09/21/2024,vs Neb. Wesleyan,L,1-4,"(1-3-3, 0-0-0)",0-0-0,100,Ian O'Loughlin (1) (Soma Suzuki)
09/24/2024,at Simpson,W,3-2,"(2-3-3, 0-0-0)",0-0-0,122,"Samuel Gojjam (3) (Ian O'Loughlin)  Dylan Maddux (2) (Billy Cherres , Soma Suzuki)  Ian O'Loughlin (2) (Dylan Maddux , Samuel Gojjam)"
09/28/2024,vs Lake Forest,T,3-3,"(2-3-4, 0-0-1)",0-0-1,85,Dylan Maddux (3) (Demi Oni)  Jaxon Willoughby (1) (Ryan Huang)  Zak Serby (1)
10/01/2024,vs Knox,T,0-0,"(2-3-5, 0-0-2)",0-0-2,25,
10/05/2024,at Ripon,W,3-1,"(3-3-5, 1-0-2)",1-0-2,200,"Jack Pennachio (1) (Soma Suzuki)  Dylan Maddux (4) (Anthony Hong , Ezra Gould)  Zak Serby (2)"
10/12/2024,at Illinois Col.,L,1-3,"(3-4-5, 1-1-2)",1-1-2,225,"Demi Oni (2) (Zak Serby , Jimmy Miseda)"
10/19/2024,at Augustana (IL),W,4-2,"(4-4-5, 1-1-2)",1-1-2,203,Nick Fahmy (1) (Billy Cherres)  Soma Suzuki (1) (Oliver Northing)  Anthony Hong (2) Anthony Hong (2) (Dylan Maddux)
10/20/2024,at Buena Vista,W,7-0,"(5-4-5, 1-1-2)",1-1-2,80,Oliver Northing (1) (Dylan Maddux)  Dylan Maddux (7) (Oliver Northing)  Dylan Maddux (7) Samuel Gojjam (5) (Demi Oni)  Jaxon Willoughby (2) (Zak Serby)  Dylan Maddux (7) (Anthony Hong)  Samuel Gojjam (5)
10/23/2024,vs Cornell College,W,1-0,"(6-4-5, 2-1-2)",2-1-2,65,Oliver Northing (2) (Soma Suzuki)
10/26/2024,vs Beloit,W,8-2,"(7-4-5, 3-1-2)",3-1-2,70,"David Zhou (1) (Dylan Maddux)  Samuel Gojjam (7) (Oliver Northing)  Ezra Gould (1) (Anthony Hong)  Zak Serby (3) Samuel Gojjam (7) (Demi Oni)  Soma Suzuki (2) (Dylan Maddux)  Oliver Northing (3) (Samuel Gojjam , Jack Pennachio)  Anthony Hong (3) (Dylan Maddux)"
10/29/2024,at Monmouth (IL),L,0-1,"(7-5-5, 3-2-2)",3-2-2,100,
11/02/2024,at Lawrence,W,3-1,"(8-5-5, 4-2-2)",4-2-2,279,"Anthony Hong (4) (Jaxon Willoughby)  Oliver Northing (3) Jaxon Willoughby (3) (Dylan Maddux , Oliver Northing)"
11/08/2024,at Lake Forest,L,1-4,"(8-6-5, 4-2-2)",4-2-2,147,Jack Pennachio (2) (Dylan Maddux)
