Date,Loc,Opponent,W/L,Score,Singles,Singles,Singles,Singles,Singles,Singles,Doubles,Doubles,Doubles,Rankings,Rankings
Date,Loc,Opponent,W/L,Score,1,2,3,4,5,6,1,2,3,Nation,Region
9/30/22,,"2022 Midwest Open - St. Peter, Minn.",,,,,,,,,,,,,
9/30/22,,"2022 ITA Midwest Regional Championship - St. Peter, Minn.",,,,,,,,,,,,,
1/28/23,vs,UW - Stevens Point,W,9-0,W,W,W,W,W,W,W,W,W,,
1/28/23,at,Gustavus Adolphus (#17),L,0-9,L,L,L,L,L,L,L,L,L,,
2/4/23,vs,Iowa Central Community College,L,2-7,L,L,L,L,L,L,W,L,W,,
2/11/23,vs,Wheaton College,W,5-4,W,L,W,W,L,W,W,L,L,,
2/11/23,vs,Luther Men's Tennis,W,7-2,L,W,L,W,W,W,W,W,W,,
2/12/23,at,UW-Whitewater (#34),L,2-7,L,L,L,L,L,L,W,L,W,,
2/18/23,vs,Carleton College,L,2-7,L,L,W,L,L,W,L,L,L,,
2/24/23,,Millikin,W,8-1,W,W,W,W,W,W,L,W,W,,
2/25/23,,Northwestern College,W,8-1,W,W,W,W,W,W,L,W,W,,
3/4/23,,Central,W,9-0,W,W,W,W,W,W,W,W,W,,
3/5/23,at,Cornell College,W,9-0,W,W,W,W,W,W,W,W,W,,
3/11/23,vs,UW-Eau Claire,W,7-2,W,W,W,L,W,W,W,L,W,,
3/25/23,at,University of Redlands (#25),L,2-7,L,L,L,W,L,W,L,L,L,,
3/26/23,at,Occidental College (#34),L,4-5,L,W,L,W,W,W,L,L,L,,
3/27/23,at,California Lutheran,L,4-5,L,L,W,W,L,W,W,L,L,,
3/29/23,at,Chapman University (#33),W,5-4,L,W,L,W,W,L,L,W,W,,
4/8/23,at,Lake Forest,W,9-0,W,W,Wr,W,W,W,W,W,W,,#12
4/15/23,,Ripon College,W,9-0,W,W,W,W,W,W,W,W,W,,#12
4/15/23,,Lawrence University,W,9-0,W,W,W,W,W,W,W,W,W,,#12
4/15/23,at,Coe College,W,8-1,W,L,W,W,W,W,W,W,W,,#12
4/22/23,at,Monmouth College,W,9-0,W,W,W,W,W,W,W,W,W,,#11
4/22/23,at,Illinois College,W,9-0,W,W,W,Wr,W,W,W,W,W,,#11
4/28/23,vs,Ripon College,W,5-0,u,W,u,W,u,u,W,W,W,,#10
4/28/23,vs,Lake Forest,W,5-0,u,u,u,W,W,u,W,W,W,,#10
4/29/23,,"2023 Midwest Conference Men's Tournament - Peoria, Ill.",,,,,,,,,,,,,
5/5/23,vs,Luther Men's Tennis,W,5-3,L,W,u,L,W,W,L,W,W,,#10
5/6/23,vs,University of Chicago (#10),L,2-5,L,u,L,L,L,u,L,W,W,,#9
