Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Martinez, Michael",SR-4,22.33,2010 ASICS Winthrop Invitational,"Mar 25, 2010",2.2
,"Phillips, Scott",,23.32,Central Open,"May 7, 2010",-3.5
,"Brunson, Winnon",SR-4,23.49,2010 ASICS Winthrop Invitational,"Mar 25, 2010",0.4
,"Herrman, Davis",SR,23.54,Kip Janvrin Open,"Apr 22, 2010",-2.4
,"Yin, Rob",SR,23.96,2010 ASICS Winthrop Invitational,"Mar 25, 2010",0.4
,"Boucher, Dylan",SR,24.36,Spartan Open,"May 1, 2010",-4.3
,"Banks, Quinton",,24.42,2010 ASICS Winthrop Invitational,"Mar 25, 2010",1.6
,"Singh, Harpreet",SR,24.73,Central Open,"May 7, 2010",-4.3
,"Goldstein, Sam",SR,24.99,Central Open,"May 7, 2010",-3.8
,"Garwood, David",,26.19,Central Open,"May 7, 2010",-3.8
