Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Romeo, Dixon",FR-1,23.94,Wartburg Invite,"Feb 16, 2013",0.0
,"Banks, Quinton",SR-4,23.96,Darren Young Invitational,"Feb 9, 2013",0.0
,"Romeo, Dixon",FR-1,24.05,Darren Young Invitational,"Feb 9, 2013",0.0
,"Romeo, Dixon",FR-1,24.23,Midwest Conference Indoor Championships,"Feb 22, 2013",0.0
,"Garwood, David",SR-4,24.45,Darren Young Invitational,"Feb 9, 2013",0.0
,"Edwards, Ronald",JR-3,24.5,Midwest Conference Indoor Championships,"Feb 22, 2013",0.0
,"Shields, Windom",FR-1,25.27,Midwest Conference Indoor Championships,"Feb 22, 2013",0.0
,"Shields, Windom",FR-1,25.87,Darren Young Invitational,"Feb 9, 2013",0.0
,"Hernandez, Luis",SO-2,27.51,Wartburg Invite,"Feb 16, 2013",0.0
,"Hernandez, Luis",SO-2,27.61,Darren Young Invitational,"Feb 9, 2013",0.0
,"Hernandez, Luis",SO-2,28.12,ACM Invitational,"Feb 2, 2013",0.0
