Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Hardman, Ed",SO-2,22.43,MWC Conference Championships,"May 8, 2015",1.4
,"Hardman, Ed",SO-2,22.5,MWC Conference Championships,"May 8, 2015",0.0
,"Hardman, Ed",SO-2,22.59,Monmouth fighting Scots Outdoor-,"May 2, 2015",1.6
,"Mertes, John",SR-4,22.6,MWC Conference Championships,"May 8, 2015",1.4
,"Mertes, John",SR-4,22.85,Monmouth fighting Scots Outdoor-,"May 2, 2015",1.2
,"Hardman, Ed",SO-2,22.98,2015 Kip Janvrin Open,"Apr 23, 2015",0.0
,"Romeo, Dixon",SO-2,23.81,2015 Cornell Outdoor Invite,"Apr 4, 2015",1.4
,"Romeo, Dixon",SO-2,24.39,MWC Conference Championships,"May 8, 2015",1.1
,"Ogasawara, Ibuki",SO-2,25.21,Monmouth fighting Scots Outdoor-,"May 2, 2015",0.8
,"Hernandez, Luis",JR-3,25.88,Monmouth fighting Scots Outdoor-,"May 2, 2015",1.4
