Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Ogasawara, Ibuki",JR-3,4.46m,"14' 7.5""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Ogasawara, Ibuki",JR-3,4.42m,"14' 6""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Ogasawara, Ibuki",JR-3,4.27m,"14' 0""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Ogasawara, Ibuki",JR-3,4.26m,"13' 11.75""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Ogasawara, Ibuki",JR-3,4.20m,"13' 9.25""",2017 Jim Duncan Invitational,"Apr 14, 2017"
,"Ogasawara, Ibuki",JR-3,4.12m,"13' 6.25""",Monmouth Fighting Scots Outdoor,"May 6, 2017"
,"Ogasawara, Ibuki",JR-3,4.11m,"13' 5.75""",Midwest Conference Outdoor Championship,"May 12, 2017"
,"Ogasawara, Ibuki",JR-3,4.10m,"13' 5.25""",2017 Cornell Invite,"Apr 8, 2017"
,"Ogasawara, Ibuki",JR-3,4.10m,"13' 5.25""",2017 Dick Young Invitational,"Apr 22, 2017"
,"Ogasawara, Ibuki",JR-3,4.05m,"13' 3.5""",2017 Jim Duncan Invitational,"Apr 14, 2017"
