Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Richter, Theo",SO-2,14.75m,"48' 4.75""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Richter, Theo",SO-2,14.46m,"47' 5.25""",Darren Young Invitational,"Feb 12, 2022"
,"Richter, Theo",SO-2,14.39m,"47' 2.5""",Darren Young Invitational,"Feb 12, 2022"
,"Richter, Theo",SO-2,14.16m,"46' 5.5""",Darren Young Invitational,"Feb 12, 2022"
,"Richter, Theo",SO-2,14.13m,"46' 4.25""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Richter, Theo",SO-2,13.94m,"45' 9""",Liz Wuertz Invite,"Feb 19, 2022"
,"Richter, Theo",SO-2,13.92m,"45' 8""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Richter, Theo",SO-2,13.75m,"45' 1.5""",Liz Wuertz Invite,"Feb 19, 2022"
,"Richter, Theo",SO-2,13.74m,"45' 1""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Richter, Theo",SO-2,13.65m,"44' 9.5""",Grinnell Invitational,"Jan 29, 2022"
,"Richter, Theo",SO-2,13.40m,"43' 11.75""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Richter, Theo",SO-2,13.31m,"43' 8""",Liz Wuertz Invite,"Feb 19, 2022"
,"Richter, Theo",SO-2,13.20m,"43' 3.75""",Liz Wuertz Invite,"Feb 19, 2022"
,"Richter, Theo",SO-2,13.19m,"43' 3.25""",Hilltop Invitational,"Jan 22, 2022"
,"Richter, Theo",SO-2,13.18m,"43' 3""",Hilltop Invitational,"Jan 22, 2022"
,"Richter, Theo",SO-2,13.18m,"43' 3""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Richter, Theo",SO-2,13.05m,"42' 9.75""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Richter, Theo",SO-2,13.00m,"42' 8""",Luther College Invitational,"Feb 5, 2022"
,"Richter, Theo",SO-2,13.00m,"42' 8""",Hilltop Invitational,"Jan 22, 2022"
,"Richter, Theo",SO-2,12.94m,"42' 5.5""",Liz Wuertz Invite,"Feb 19, 2022"
,"Richter, Theo",SO-2,12.81m,"42' 0.5""",Luther College Invitational,"Feb 5, 2022"
,"Richter, Theo",SO-2,12.79m,"41' 11.5""",Liz Wuertz Invite,"Feb 19, 2022"
,"Richter, Theo",SO-2,12.63m,"41' 5.25""",Hilltop Invitational,"Jan 22, 2022"
,"Richter, Theo",SO-2,12.56m,"41' 2.5""",Luther College Invitational,"Feb 5, 2022"
,"Bean, Garret",FR-1,12.14m,"39' 10""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Richter, Theo",SO-2,12.14m,"39' 10""",Grinnell Invitational,"Jan 29, 2022"
,"Bean, Garret",FR-1,11.87m,"38' 11.5""",Grinnell Invitational,"Jan 29, 2022"
,"Richter, Theo",SO-2,11.72m,"38' 5.5""",Grinnell Invitational,"Jan 29, 2022"
,"Bean, Garret",FR-1,11.70m,"38' 4.75""",Midwest Conference Indoor Championships,"Feb 25, 2022"
,"Bean, Garret",FR-1,11.44m,"37' 6.5""",Liz Wuertz Invite,"Feb 19, 2022"
,"Bean, Garret",FR-1,11.28m,"37' 0.25""",Liz Wuertz Invite,"Feb 19, 2022"
,"Richter, Theo",SO-2,10.76m,"35' 3.75""",Hilltop Invitational,"Jan 22, 2022"
,"Bean, Garret",FR-1,10.56m,"34' 7.75""",Luther College Invitational,"Feb 5, 2022"
,"Bean, Garret",FR-1,10.26m,"33' 8""",Luther College Invitational,"Feb 5, 2022"
,"Bean, Garret",FR-1,10.01m,"32' 10.25""",Darren Young Invitational,"Feb 12, 2022"
,"Bean, Garret",FR-1,9.62m,"31' 6.75""",Grinnell Invitational,"Jan 29, 2022"
,"Bean, Garret",FR-1,9.04m,"29' 8""",Grinnell Invitational,"Jan 29, 2022"
,"Bean, Garret",FR-1,8.97m,"29' 5.25""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Bean, Garret",FR-1,8.89m,"29' 2""",Grinnell Invitational,"Jan 29, 2022"
,"Bean, Garret",FR-1,8.12m,"26' 7.75""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Bean, Garret",FR-1,7.99m,"26' 2.75""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Chu, Travis",FR-1,7.84m,"25' 8.75""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Chu, Travis",FR-1,7.78m,"25' 6.25""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Bean, Garret",FR-1,7.42m,"24' 4.25""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Bean, Garret",FR-1,7.24m,"23' 9""",Hilltop Invitational,"Jan 22, 2022"
,"Bean, Garret",FR-1,6.98m,"22' 11""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
,"Bean, Garret",FR-1,6.96m,"22' 10""",Hilltop Invitational,"Jan 22, 2022"
,"Chu, Travis",FR-1,5.62m,"18' 5.25""",Grinnell Holiday Indoor Triangular,"Dec 10, 2021"
