Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Fornari, Luca",SO-2,4.23m,"13' 10.5""",Darren Young Classic,"Feb 11, 2023"
,"Fornari, Luca",SO-2,4.17m,"13' 8.25""",Grinnell Opener,"Dec 9, 2022"
,"Fornari, Luca",SO-2,4.08m,"13' 4.5""",Darren Young Classic,"Feb 11, 2023"
,"Fornari, Luca",SO-2,4.07m,"13' 4.25""",Grinnell Opener,"Dec 9, 2022"
,"Fornari, Luca",SO-2,4.07m,"13' 4.25""",Grinnell Invitational,"Jan 28, 2023"
,"Fornari, Luca",SO-2,4.06m,"13' 3.75""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Fornari, Luca",SO-2,3.97m,"13' 0.25""",Grinnell Opener,"Dec 9, 2022"
,"Fornari, Luca",SO-2,3.93m,"12' 10.75""",Darren Young Classic,"Feb 11, 2023"
,"Fornari, Luca",SO-2,3.92m,"12' 10.25""",Grinnell Invitational,"Jan 28, 2023"
,"Fornari, Luca",SO-2,3.91m,"12' 10""",Liz Wuertz Indoor Meet,"Feb 18, 2023"
,"Fornari, Luca",SO-2,3.87m,"12' 8.25""",Grinnell Opener,"Dec 9, 2022"
,"Fornari, Luca",SO-2,3.85m,"12' 7.5""",Midwest Conference Indoor Track & Field Championships,"Feb 24, 2023"
,"Fornari, Luca",SO-2,3.78m,"12' 4.75""",Darren Young Classic,"Feb 11, 2023"
,"Fornari, Luca",SO-2,3.77m,"12' 4.5""",Grinnell Invitational,"Jan 28, 2023"
,"Fornari, Luca",SO-2,3.77m,"12' 4.5""",Grinnell Opener,"Dec 9, 2022"
,"Fornari, Luca",SO-2,3.67m,"12' 0.5""",Grinnell Opener,"Dec 9, 2022"
