Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Richter, Theo",SO-2,40.21m,"131' 11""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Richter, Theo",SO-2,39.87m,"130' 10""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Richter, Theo",SO-2,38.67m,"126' 10""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Richter, Theo",SO-2,36.59m,"120' 0""",Mustang Open,"Apr 9, 2022"
,"Richter, Theo",SO-2,36.55m,"119' 11""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Richter, Theo",SO-2,36.07m,"118' 4""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Richter, Theo",SO-2,34.83m,"114' 3""",Mustang Open,"Apr 9, 2022"
,"Richter, Theo",SO-2,34.67m,"113' 9""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Bean, Garret",FR-1,33.75m,"110' 9""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Richter, Theo",SO-2,33.40m,"109' 7""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Bean, Garret",FR-1,32.84m,"107' 9""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Bean, Garret",FR-1,32.75m,"107' 5""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Bean, Garret",FR-1,32.64m,"107' 1""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Bean, Garret",FR-1,32.61m,"107' 0""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Chu, Travis",FR-1,32.34m,"106' 1""",Dick Young Invitational,"Apr 23, 2022"
,"Chu, Travis",FR-1,31.89m,"104' 7""",Dick Young Invitational,"Apr 23, 2022"
,"Bean, Garret",FR-1,31.51m,"103' 4""",Dick Young Invitational,"Apr 23, 2022"
,"Bean, Garret",FR-1,31.39m,"103' 0""",Dick Young Invitational,"Apr 23, 2022"
,"Chu, Travis",FR-1,31.39m,"103' 0""",Mustang Open,"Apr 9, 2022"
,"Bean, Garret",FR-1,31.35m,"102' 10""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Bean, Garret",FR-1,31.33m,"102' 9""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Bean, Garret",FR-1,31.31m,"102' 9""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Bean, Garret",FR-1,31.03m,"101' 10""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Bean, Garret",FR-1,30.99m,"101' 8""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Bean, Garret",FR-1,30.42m,"99' 10""",Dick Young Invitational,"Apr 23, 2022"
,"Bean, Garret",FR-1,30.36m,"99' 7""",Mustang Open,"Apr 9, 2022"
,"Bean, Garret",FR-1,30.31m,"99' 5""",Dick Young Invitational,"Apr 23, 2022"
,"Bean, Garret",FR-1,30.25m,"99' 3""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Bean, Garret",FR-1,30.20m,"99' 1""",Dick Young Invitational,"Apr 23, 2022"
,"Chu, Travis",FR-1,30.17m,"99' 0""",Mustang Open,"Apr 9, 2022"
,"Chu, Travis",FR-1,30.05m,"98' 7""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Bean, Garret",FR-1,29.99m,"98' 5""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Chu, Travis",FR-1,29.92m,"98' 2""",Cornell College Invitational,"Apr 2, 2022"
,"Bean, Garret",FR-1,29.82m,"97' 10""",Mustang Open,"Apr 9, 2022"
,"Chu, Travis",FR-1,29.65m,"97' 3""",Dick Young Invitational,"Apr 23, 2022"
,"Chu, Travis",FR-1,29.02m,"95' 2""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Chu, Travis",FR-1,28.90m,"94' 10""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Chu, Travis",FR-1,28.73m,"94' 3""",Emory Thrills in the Hills Open,"Mar 25, 2022"
,"Bean, Garret",FR-1,28.52m,"93' 7""",Cornell College Invitational,"Apr 2, 2022"
,"Chu, Travis",FR-1,28.41m,"93' 2""",Dick Young Invitational,"Apr 23, 2022"
,"Chu, Travis",FR-1,28.19m,"92' 6""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Chu, Travis",FR-1,28.04m,"92' 0""",Mustang Open,"Apr 9, 2022"
,"Bean, Garret",FR-1,27.99m,"91' 10""",Mustang Open,"Apr 9, 2022"
