Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Hollond, Sterling",FR-1,3.80m,"12' 5.5""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Fornari, Luca",FR-1,3.80m,"12' 5.5""",Dick Young Invitational,"Apr 23, 2022"
,"Fornari, Luca",FR-1,3.80m,"12' 5.5""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Hollond, Sterling",FR-1,3.70m,"12' 1.5""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Hollond, Sterling",FR-1,3.70m,"12' 1.5""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Hollond, Sterling",FR-1,3.65m,"11' 11.75""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Hollond, Sterling",FR-1,3.65m,"11' 11.75""",Dick Young Invitational,"Apr 23, 2022"
,"Fornari, Luca",FR-1,3.65m,"11' 11.75""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Fornari, Luca",FR-1,3.60m,"11' 9.75""",Mustang Open,"Apr 9, 2022"
,"Hollond, Sterling",FR-1,3.55m,"11' 7.75""",Monmouth College Fighting Scots Outdoor,"May 7, 2022"
,"Hollond, Sterling",FR-1,3.55m,"11' 7.75""",Midwest Conference Outdoor Championship,"May 13, 2022"
,"Fornari, Luca",FR-1,3.50m,"11' 5.75""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Hollond, Sterling",FR-1,3.50m,"11' 5.75""",Dick Young Invitational,"Apr 23, 2022"
,"Hollond, Sterling",FR-1,3.50m,"11' 5.75""",2022 Kip Janvrin Open,"Apr 28, 2022"
,"Hollond, Sterling",FR-1,3.35m,"10' 11.75""",Dick Young Invitational,"Apr 23, 2022"
