Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Central College,11/15/12,56-63,-7,22-63/17-56,.349/.304,4-20/1-15,.200/.067,8-15/28-37,.533-.757,45/40 5,10/12,18/11,7/1,3/12,25/11
Benedictine College,11/25/12,52-65,-13,20-50/21-69,.400/.304,2-9/6-21,.222/.286,10-14/17-25,.714-.680,39/46 -7,9/16,23/11,11/0,6/10,16/14
Knox College,11/28/12,78-75,3,34-66/20-80,.515/.250,0-0/9-42,NaN/.214,10-26/26-33,.385-.788,63/39 24,12/12,33/17,3/1,11/20,24/23
Ripon College,12/01/12,57-56,1,19-56/22-71,.339/.310,4-17/1-18,.235/.056,15-26/11-16,.577-.688,43/52 -9,11/14,24/21,7/3,10/12,11/20
Wartburg College,12/02/12,56-55,1,20-49/20-65,.408/.308,8-16/5-26,.500/.192,8-10/10-14,.800-.714,45/32 13,16/14,32/14,7/1,7/21,15/12
Monmouth College,12/04/12,45-57,-12,17-57/21-50,.298/.420,6-23/5-12,.261/.417,5-7/10-12,.714-.833,32/39 -7,9/12,15/17,3/2,10/7,13/9
St. Norbert College,12/08/12,55-61,-6,21-53/20-53,.396/.377,3-6/3-15,.500/.200,10-13/18-25,.769-.720,34/37 -3,4/12,22/17,3/0,4/10,22/13
Illinois College,12/11/12,67-50,17,25-65/15-58,.385/.259,2-16/0-5,.125/.000,15-21/20-30,.714-.667,44/49 -5,10/8,15/23,9/2,11/7,20/18
St. Ambrose,12/15/12,81-94,-13,31-55/35-71,.564/.493,7-13/7-21,.538/.333,12-16/17-21,.750-.810,40/25 15,12/23,29/10,4/2,4/15,18/16
Beloit College,01/02/13,62-55,7,22-68/21-62,.324/.339,5-13/3-15,.385/.200,13-15/10-14,.867-.714,48/42 6,11/8,22/21,8/2,10/12,16/15
Carroll University,01/05/13,46-60,-14,19-57/19-55,.333/.345,4-18/2-11,.222/.182,4-7/20-24,.571-.833,34/44 -10,10/11,19/16,6/0,4/6,22/12
Cornell College,01/09/13,45-66,-21,15-53/26-57,.283/.456,4-15/4-10,.267/.400,11-18/10-19,.611-.526,36/44 -8,8/17,22/21,8/3,11/12,17/17
Lawrence University,01/12/13,60-38,22,17-62/12-59,.274/.203,4-18/3-20,.222/.150,22-31/11-18,.710-.611,56/43 13,8/3,19/19,8/2,8/14,16/21
Illinois College,01/15/13,71-68,3,27-60/23-64,.450/.359,0-7/0-5,.000/.000,17-27/22-30,.630-.733,44/39 5,11/15,22/21,11/5,15/15,25/25
Ripon College,01/19/13,55-63,-8,19-51/22-56,.373/.393,1-8/6-14,.125/.429,16-30/13-25,.533-.520,32/44 -12,4/13,12/16,4/3,10/4,22/21
Monmouth College,01/23/13,55-73,-18,20-52/28-64,.385/.438,6-17/4-11,.353/.364,9-13/13-16,.692-.813,31/41 -10,11/14,26/21,5/1,9/16,15/14
Lake Forest College,01/26/13,63-49,14,22-49/19-61,.449/.311,3-15/4-19,.200/.211,16-29/7-12,.552-.583,43/37 6,11/16,18/17,1/2,8/6,14/21
Knox College,01/29/13,94-75,19,41-70/26-96,.586/.271,0-0/16-62,NaN/.258,12-18/7-10,.667-.700,60/42 18,25/18,28/16,7/2,10/15,14/17
Beloit College,02/02/13,73-81,-8,26-57/27-63,.456/.429,4-14/3-13,.286/.231,17-26/24-30,.654-.800,39/39 0,11/14,20/11,5/0,7/9,22/21
Ashford University,02/06/13,50-44,6,17-50/18-54,.340/.333,4-9/1-6,.444/.167,12-18/7-14,.667-.500,31/44 -13,9/9,11/17,8/2,9/3,15/17
St. Norbert College,02/09/13,47-62,-15,17-47/25-62,.362/.403,5-15/6-18,.333/.333,8-9/6-6,.889-1.000,33/35 -2,10/19,18/8,6/4,4/13,5/11
Cornell College,02/12/13,57-69,-12,24-54/25-51,.444/.490,7-17/5-8,.412/.625,2-5/14-19,.400-.737,26/33 -7,15/17,14/11,5/1,1/9,18/10
Lawrence University,02/16/13,79-68,11,26-60/25-66,.433/.379,10-25/8-21,.400/.381,17-28/10-13,.607-.769,41/42 -1,15/18,15/17,3/5,5/6,15/23
