#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
10,"Alabi, Tolu 10 Alabi, Tolu",23,22.0,771,33.5,122,273,0.447,2,13,0.154,62,99,0.626,308,13.4,59,113,172,7.5,51,41,66,33,6,View Bio
13,"Hirsh, Alissa 13 Hirsh, Alissa",23,21.0,740,32.2,94,221,0.425,8,27,0.296,62,81,0.765,258,11.2,12,66,78,3.4,38,99,81,34,2,View Bio
23,"DeGroot, Rebecca 23 DeGroot, Rebecca",3,1.0,85,28.3,14,31,0.452,2,11,0.182,2,7,0.286,32,10.7,4,17,21,7.0,3,1,11,4,1,View Bio
15,"Briggs, Michelle 15 Briggs, Michelle",23,22.0,616,26.8,87,221,0.394,1,1,1.0,55,102,0.539,230,10.0,72,168,240,10.4,66,24,67,25,91,View Bio
24,"Boldt, Anne 24 Boldt, Anne",23,20.0,589,25.6,53,144,0.368,25,81,0.309,35,42,0.833,166,7.2,18,50,68,3.0,59,20,65,28,4,View Bio
05,"Coleman, Cristal 05 Coleman, Cristal",21,0.0,270,12.9,39,114,0.342,28,81,0.346,8,16,0.5,114,5.4,7,25,32,1.5,32,14,36,13,2,View Bio
20,"Jaeger, Abby 20 Jaeger, Abby",23,19.0,669,29.1,41,115,0.357,12,31,0.387,25,37,0.676,119,5.2,16,31,47,2.0,47,31,51,23,4,View Bio
22,"Gogins, Karen 22 Gogins, Karen",19,1.0,136,7.2,17,44,0.386,6,25,0.24,1,3,0.333,41,2.2,9,12,21,1.1,13,2,16,5,1,View Bio
21,"Clarke, Kelly 21 Clarke, Kelly",21,2.0,175,8.3,15,52,0.288,9,40,0.225,2,2,1.0,41,2.0,5,11,16,0.8,18,3,8,2,2,View Bio
34,"Burnett, Elizabeth 34 Burnett, Elizabeth",23,1.0,312,13.6,20,48,0.417,0,0,0.0,4,13,0.308,44,1.9,32,57,89,3.9,49,10,27,6,25,View Bio
12,"Plemmons, Alex 12 Plemmons, Alex",22,1.0,168,7.6,13,21,0.619,0,0,0.0,8,12,0.667,34,1.5,11,20,31,1.4,16,5,14,3,0,View Bio
44,"Schellinger, Jordan 44 Schellinger, Jordan",6,0.0,9,1.5,2,3,0.667,0,0,0.0,0,0,0.0,4,0.7,1,0,1,0.2,0,0,1,0,0,View Bio
11,"Miller, Isabelle 11 Miller, Isabelle",10,0.0,49,4.9,2,3,0.667,0,0,0.0,2,4,0.5,6,0.6,3,7,10,1.0,2,0,5,0,0,View Bio
14,"Matosky, Jordan 14 Matosky, Jordan",17,0.0,111,6.5,2,14,0.143,0,1,0.0,3,4,0.75,7,0.4,6,8,14,0.8,6,2,12,1,1,View Bio
TM,Team  TM Team,23,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,30,69,99,4.3,0,0,17,0,0,
,Total,23,,4700,204.3,521,1304,0.4,93,311,0.299,269,422,0.637,1404,61.04,285,654,939,40.8,400,252,477,177,139,
,Opponents,23,,4700,204.3,507,1443,0.351,102,408,0.25,331,463,0.715,1447,62.91,350,578,928,40.3,381,315,373,254,44,
