Statistic,Grinnell College,Opponents OPP
Scoring,Scoring,Scoring
Total Points TOT,1404,1447
Points Per Game PPG,61.0,62.9
Scoring Margin Margin,-1.9,--
Shooting,Shooting,Shooting
FG: Made-Attempted FGM-FGA,521-1304,507-1443
FG: Percentage FG%,.400,.351
FG: Per Game FGM/G,22.7,22.0
3PT: Made-Attempted 3PT-3PA,93-311,102-408
3PT: Percentage 3PT%,.299,.250
3PT: Per Game 3PT/G,4.0,4.4
FT: Made-Attempted FTM-FTA,269-422,331-463
FT: Percentage FT%,.637,.715
FT: Per Game FT/G,11.7,14.4
Rebounding,Rebounding,Rebounding
Total TOT,939,928
Per Game RPG,40.8,40.3
Margin,0.5,--
Assists,Assists,Assists
Total TOT,252,315
Per Game APG,11.0,13.7
Turnovers,Turnovers,Turnovers
Total TOT,477,373
Per Game TO/G,20.7,16.2
Margin,-4.5,--
Assist/Turnover Ratio A/TO,0.5,0.8
Points Off Turnovers PTS OFF TO,13.5,18.9
Steals,Steals,Steals
Total TOT,177,254
Per Game STL/G,7.7,11.0
Blocks,Blocks,Blocks
Total TOT,139,44
Per Game BLK/G,6.0,1.9
Attendance,Attendance,Attendance
Total TOT,4990,5465
Per Game AVG,11-454,12-455
