#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
13.0,"Hirsh, Alissa 13 Hirsh, Alissa",23,23.0,850,166,342,0.485,21,50,0.42,72,111,0.649,425,18.5
42.0,"Morrissey, Kayla 42 Morrissey, Kayla",23,23.0,669,106,252,0.421,18,57,0.316,43,64,0.672,273,11.9
10.0,"Gatton, Sophia 10 Gatton, Sophia",23,23.0,661,76,222,0.342,27,96,0.281,25,41,0.61,204,8.9
11.0,"Neckopulos, Alex 11 Neckopulos, Alex",23,22.0,618,46,124,0.371,0,0,0.0,40,60,0.667,132,5.7
23.0,"Boldt, Anne 23 Boldt, Anne",16,0.0,270,26,94,0.277,8,43,0.186,23,33,0.697,83,5.2
22.0,"Greenberg, Leah 22 Greenberg, Leah",23,0.0,233,42,120,0.35,38,106,0.358,5,6,0.833,127,5.5
20.0,"Stariha, Lydia 20 Stariha, Lydia",23,23.0,566,43,120,0.358,7,47,0.149,18,40,0.45,111,4.8
21.0,"Norton, Kaitlyn 21 Norton, Kaitlyn",23,0.0,197,23,67,0.343,12,34,0.353,6,9,0.667,64,2.8
24.0,"Plemmons, Alex 24 Plemmons, Alex",17,1.0,163,11,25,0.44,0,0,0.0,8,11,0.727,30,1.8
15.0,"Keller, Ariel 15 Keller, Ariel",23,0.0,206,8,19,0.421,1,5,0.2,7,14,0.5,24,1.0
12.0,"Lopez, Haley 12 Lopez, Haley",22,0.0,186,6,28,0.214,1,10,0.1,4,6,0.667,17,0.8
14.0,"El Mahassni, Haley 14 El Mahassni, Haley",4,0.0,7,0,3,0.0,0,0,0.0,0,0,0.0,0,0.0
32.0,"Matosky, Jordan 32 Matosky, Jordan",5,0.0,14,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
44.0,"Schellinger, Jordan 44 Schellinger, Jordan",4,0.0,10,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
,Total,23,,4650,553,1416,0.391,133,448,0.297,251,395,0.635,1490,64.78
,Opponents,23,,4649,543,1406,0.386,110,383,0.287,346,471,0.735,1542,67.04
