Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#05 Hirsh, Alissa",24,142,289,0.491,5.9,12.0
"#42 Morrissey, Kayla",24,109,245,0.445,4.5,10.2
"#11 Neckopulos, Alex",24,88,184,0.478,3.7,7.7
"#10 Gatton, Sophia",24,64,195,0.328,2.7,8.1
"#23 Boldt, Anne",24,59,187,0.316,2.5,7.8
"#20 Stariha, Lydia",24,26,74,0.351,1.1,3.1
"#22 Greenberg, Leah",22,22,84,0.262,1.0,3.8
"#21 Norton, Kaitlyn",24,19,56,0.339,0.8,2.3
"#44 Guzzo, Daria",24,14,54,0.259,0.6,2.3
"#12 Lopez, Haley",24,14,38,0.368,0.6,1.6
"#32 Matosky, Jordan",20,5,10,0.5,0.3,0.5
"#24 Giles, Margaret",7,1,3,0.333,0.1,0.4
"#34 Hellweg, Abby",8,0,1,0.0,0.0,0.1
"#14 Kasprak, Regan",4,0,3,0.0,0.0,0.8
"#13 Kessel, Hanna",5,0,2,0.0,0.0,0.4
