Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
Silver Lake,11/15/15,64-68,L,22-66,0.333,4-16,0.25,16-21,0.762,16,37,53,53.0,24,9,16,7,4,64,64.0
Macalester,11/21/15,69-52,W,27-63,0.429,4-15,0.267,11-19,0.579,14,37,51,52.0,19,18,11,6,4,69,66.5
Monmouth College,11/24/15,52-69,L,18-53,0.34,3-11,0.273,13-18,0.722,15,25,40,48.0,11,8,19,2,5,52,61.7
Beloit,11/28/15,78-82,L,26-48,0.542,6-15,0.4,20-27,0.741,4,29,33,44.3,19,9,18,3,2,78,65.8
Cornell College,12/02/15,52-45,W,19-64,0.297,4-23,0.174,10-17,0.588,14,26,40,43.4,15,12,12,4,11,52,63.0
Saint Norbert,12/05/15,71-60,W,29-59,0.492,4-11,0.364,9-20,0.45,13,20,33,41.7,19,18,6,2,8,71,64.3
Central,12/07/15,40-53,L,13-47,0.277,3-21,0.143,11-14,0.786,8,32,40,41.4,16,4,18,4,4,40,60.9
Carroll University,12/12/15,71-58,W,28-55,0.509,3-11,0.273,12-14,0.857,12,26,38,41.0,12,14,12,3,4,71,62.1
Augustana College,12/29/15,80-85,L,24-66,0.364,4-21,0.19,28-39,0.718,16,29,45,41.4,30,6,10,1,9,80,64.1
"Dubuque, Univ. of",12/30/15,74-69,W,24-62,0.387,5-22,0.227,21-26,0.808,14,34,48,42.1,12,11,13,6,6,74,65.1
Lawrence University,01/02/16,37-50,L,15-50,0.3,3-17,0.176,4-6,0.667,10,21,31,41.1,22,9,22,6,10,37,62.5
Ripon College,01/09/16,53-59,L,21-55,0.382,4-15,0.267,7-11,0.636,11,29,40,41.0,17,14,13,7,1,53,61.8
Knox,01/12/16,60-77,L,23-74,0.311,7-32,0.219,7-9,0.778,15,31,46,41.4,17,10,19,2,4,60,61.6
Lake Forest College,01/16/16,53-60,L,21-59,0.356,1-14,0.071,10-12,0.833,13,32,45,41.6,13,10,18,4,4,53,61.0
Cornell College,01/20/16,59-42,W,22-64,0.344,8-26,0.308,7-9,0.778,15,33,48,42.1,12,14,13,6,8,59,60.9
Beloit College,01/23/16,61-65,L,22-44,0.5,4-13,0.308,13-15,0.867,4,27,31,41.4,27,15,26,4,3,61,60.9
Illinois College,01/26/16,51-71,L,17-58,0.293,4-18,0.222,13-23,0.565,12,24,36,41.1,14,5,11,1,5,51,60.3
Ripon,01/30/16,63-65,L,28-55,0.509,3-13,0.231,4-5,0.8,7,28,35,40.7,18,13,21,7,7,63,60.4
Monmouth (IL),02/03/16,58-73,L,22-58,0.379,7-15,0.467,7-11,0.636,15,27,42,40.8,15,8,22,0,2,58,60.3
Carroll University,02/06/16,61-67,L,23-67,0.343,6-19,0.316,9-11,0.818,15,21,36,40.6,10,14,8,1,6,61,60.4
Lake Forest,02/13/16,61-62,L,22-55,0.4,1-12,0.083,16-20,0.8,11,30,41,40.6,23,5,14,3,2,61,60.4
Knox College,02/17/16,70-64,W,25-63,0.397,9-22,0.409,11-17,0.647,9,30,39,40.5,25,11,21,4,9,70,60.8
Illinois College,02/20/16,67-60,W,23-49,0.469,3-6,0.5,18-28,0.643,12,26,38,40.4,14,6,15,0,3,67,61.1
Cornell College,02/26/16,81-61,W,28-57,0.491,9-17,0.529,16-22,0.727,12,24,36,40.2,10,17,11,3,2,81,61.9
Grinnell College,,-,,563-1425,0.395,124-429,0.289,267-411,0.65,263,622,885,36.9,407,262,307,46,161,1517,63.2
Opponents,,-,,542-1391,0.39,109-405,0.269,293-414,0.708,287,678,965,40.2,414,260,369,86,123,1486,61.9
