Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#11 Neckopulos, Alex",23,173,7.5,60,2.6,113,4.9
"#42 Morrissey, Kayla",23,161,7.0,51,2.2,110,4.8
#TM Team,23,129,5.6,44,1.9,85,3.7
"#20 Stariha, Lydia",23,69,3.0,21,0.9,48,2.1
"#15 Keller, Ariel",23,66,2.9,16,0.7,50,2.2
"#12 Lopez, Haley",23,63,2.7,8,0.3,55,2.4
"#44 Guzzo, Daria",23,55,2.4,15,0.7,40,1.7
"#10 Gatton, Sophia",23,49,2.1,12,0.5,37,1.6
"#21 Norton, Kaitlyn",23,47,2.0,21,0.9,26,1.1
"#24 Giles, Margaret",15,24,1.6,7,0.5,17,1.1
"#23 Greenberg, Leah",23,18,0.8,3,0.1,15,0.7
"#13 Kessel, Hanna",12,14,1.2,10,0.8,4,0.3
"#14 Kasprak, Regan",12,9,0.8,2,0.2,7,0.6
