Name,GP,AST,AST/G
"#05 Ahooja, Sofia",20,55,2.8
"#14 Lillis, Erin",22,52,2.4
"#10 Ware, Nikki",21,45,2.1
"#20 Rockwell, Aiyana",22,14,0.6
"#15 Hall, P.K.",22,13,0.6
"#13 Marsh, Grace",18,13,0.7
"#11 Carchidi, Eva",18,11,0.6
"#32 Coalson, Aidan",22,11,0.5
"#44 Delaney, Sophie",19,8,0.4
"#34 Booher, Sara",22,5,0.2
"#12 Tomczik, Kate",8,3,0.4
"#23 Collier, Claire",4,2,0.5
"#24 Filkins, Annie",7,2,0.3
"#21 Nyquist, Emmy",13,2,0.2
"#22 Woodard, Valeriya",4,2,0.5
"#25 Dougherty, Annabel",9,1,0.1
"#33 Friedman, Elena",6,1,0.2
"#35 Toay, Sarah",9,1,0.1
