#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
14.0,"Lillis, Erin 14 Lillis, Erin",22,32.7,0.387,0.252,0.818,0.7,3.4,4.1,2.4,1.4,0.1,17.5
10.0,"Ware, Nikki 10 Ware, Nikki",21,29.4,0.346,0.304,0.857,0.8,2.6,3.4,2.1,1.9,0.1,11.7
12.0,"Tomczik, Kate 12 Tomczik, Kate",8,11.3,0.391,0.167,0.44,1.4,2.8,4.1,0.4,0.3,0.0,6.0
5.0,"Ahooja, Sofia 05 Ahooja, Sofia",20,26.6,0.379,0.25,0.69,0.5,1.7,2.2,2.8,1.2,0.0,5.8
32.0,"Coalson, Aidan 32 Coalson, Aidan",22,14.8,0.434,0.182,0.52,1.2,4.2,5.5,0.5,0.4,0.9,4.0
20.0,"Rockwell, Aiyana 20 Rockwell, Aiyana",22,23.0,0.341,0.299,0.818,0.5,1.6,2.1,0.6,0.6,0.4,4.0
15.0,"Hall, P.K. 15 Hall, P.K.",22,23.4,0.308,0.303,0.455,2.0,3.9,5.8,0.6,1.1,0.4,3.6
34.0,"Booher, Sara 34 Booher, Sara",22,10.0,0.433,0.0,0.474,1.0,2.6,3.6,0.2,0.2,0.6,3.0
11.0,"Carchidi, Eva 11 Carchidi, Eva",18,11.2,0.268,0.235,0.8,0.4,0.8,1.2,0.6,0.1,0.0,3.2
13.0,"Marsh, Grace 13 Marsh, Grace",18,11.1,0.356,0.296,0.5,0.7,1.2,1.9,0.7,0.3,0.1,2.5
35.0,"Toay, Sarah 35 Toay, Sarah",9,11.3,0.368,0.0,0.0,0.6,1.3,1.9,0.1,0.6,0.2,1.6
23.0,"Collier, Claire 23 Collier, Claire",4,5.8,0.5,0.5,0.5,0.0,1.0,1.0,0.5,0.0,0.0,1.0
44.0,"Delaney, Sophie 44 Delaney, Sophie",19,8.3,0.289,0.286,0.0,0.1,1.1,1.1,0.4,0.2,0.1,1.7
25.0,"Dougherty, Annabel 25 Dougherty, Annabel",9,6.2,0.429,0.0,0.6,0.6,0.8,1.3,0.1,0.3,0.0,1.7
33.0,"Friedman, Elena 33 Friedman, Elena",6,3.8,0.364,0.222,0.0,0.0,0.0,0.0,0.2,0.3,0.0,1.7
21.0,"Nyquist, Emmy 21 Nyquist, Emmy",13,7.7,0.333,0.571,1.0,0.3,0.5,0.8,0.2,0.2,0.0,1.1
42.0,"Gubbrud, Ellie 42 Gubbrud, Ellie",4,1.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
24.0,"Filkins, Annie 24 Filkins, Annie",7,3.4,0.5,0.667,0.0,0.0,0.3,0.3,0.3,0.4,0.0,0.9
45.0,"Singleton, Aliya 45 Singleton, Aliya",8,2.4,1.0,0.0,0.0,0.1,0.4,0.5,0.0,0.1,0.1,0.3
22.0,"Woodard, Valeriya 22 Woodard, Valeriya",4,3.0,0.333,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.5
,Total,22,202.3,0.365,0.279,0.703,9.9,27.3,37.2,11.0,7.9,2.7,59.95
,Opponents,22,202.3,0.385,0.284,0.701,12.3,29.4,41.7,11.0,8.6,1.7,64.09
