#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
14,"Lillis, Erin 14 Lillis, Erin",12,12.0,398,33.2,83,209,0.397,20,71,0.282,48,61,0.787,234,19.5,9,41,50,4.2,28,27,2.3,35,16,2,View Bio
10,"Ware, Nikki 10 Ware, Nikki",11,11.0,325,29.5,39,121,0.322,16,57,0.281,30,34,0.882,124,11.3,8,31,39,3.5,36,23,2.1,24,21,2,View Bio
32,"Coalson, Aidan 32 Coalson, Aidan",12,11.0,186,15.5,26,48,0.542,1,6,0.167,8,16,0.5,61,5.1,15,52,67,5.6,28,9,0.8,26,7,12,View Bio
05,"Ahooja, Sofia 05 Ahooja, Sofia",11,10.0,302,27.5,21,64,0.328,3,14,0.214,12,16,0.75,57,5.2,4,18,22,2.0,14,30,2.7,27,10,0,View Bio
15,"Hall, P.K. 15 Hall, P.K.",12,10.0,316,26.3,18,59,0.305,7,23,0.304,2,7,0.286,45,3.8,23,48,71,5.9,35,6,0.5,15,12,4,View Bio
20,"Rockwell, Aiyana 20 Rockwell, Aiyana",12,3.0,303,25.3,12,38,0.316,9,31,0.29,3,4,0.75,36,3.0,5,23,28,2.3,21,13,1.1,14,8,2,View Bio
12,"Tomczik, Kate 12 Tomczik, Kate",4,1.0,32,8.0,4,16,0.25,0,3,0.0,5,14,0.357,13,3.3,4,7,11,2.8,3,0,0.0,4,1,0,View Bio
34,"Booher, Sara 34 Booher, Sara",12,0.0,123,10.3,16,33,0.485,0,0,0.0,5,12,0.417,37,3.1,13,34,47,3.9,20,2,0.2,11,4,9,View Bio
11,"Carchidi, Eva 11 Carchidi, Eva",9,0.0,96,10.7,10,30,0.333,6,22,0.273,3,3,1.0,29,3.2,4,10,14,1.6,5,7,0.8,6,0,0,View Bio
25,"Dougherty, Annabel 25 Dougherty, Annabel",3,0.0,25,8.3,4,8,0.5,0,1,0.0,2,3,0.667,10,3.3,2,4,6,2.0,5,0,0.0,3,1,0,View Bio
35,"Toay, Sarah 35 Toay, Sarah",4,1.0,61,15.3,4,13,0.308,0,0,0.0,0,2,0.0,8,2.0,2,6,8,2.0,5,1,0.3,3,2,0,View Bio
13,"Marsh, Grace 13 Marsh, Grace",11,0.0,131,11.9,10,32,0.313,6,22,0.273,5,10,0.5,31,2.8,7,14,21,1.9,6,7,0.6,8,3,1,View Bio
44,"Delaney, Sophie 44 Delaney, Sophie",9,0.0,61,6.8,4,15,0.267,4,15,0.267,0,0,0.0,12,1.3,1,9,10,1.1,6,1,0.1,2,1,0,View Bio
21,"Nyquist, Emmy 21 Nyquist, Emmy",8,0.0,57,7.1,3,9,0.333,3,6,0.5,0,0,0.0,9,1.1,4,5,9,1.1,2,1,0.1,4,1,0,View Bio
42,"Gubbrud, Ellie 42 Gubbrud, Ellie",3,1.0,5,1.7,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,0.3,1,0,0.0,0,0,0,View Bio
23,"Collier, Claire 23 Collier, Claire",1,0.0,2,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,1,1,1.0,0,0,0.0,0,0,0,View Bio
24,"Filkins, Annie 24 Filkins, Annie",3,0.0,7,2.3,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,1,0,0.0,1,0,0,View Bio
33,"Friedman, Elena 33 Friedman, Elena",2,0.0,4,2.0,0,1,0.0,0,1,0.0,0,0,0.0,0,0.0,0,0,0,0.0,0,0,0.0,0,1,0,View Bio
45,"Singleton, Aliya 45 Singleton, Aliya",5,0.0,12,2.4,1,1,1.0,0,0,0.0,0,0,0.0,2,0.4,1,3,4,0.8,2,0,0.0,2,0,1,View Bio
TM,Team  TM Team,12,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,13,29,42,3.5,0,0,0.0,9,0,0,
22,"Woodard, Valeriya 22 Woodard, Valeriya",2,0.0,4,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,0,0,0.0,2,1,0.5,0,0,0,View Bio
,Total,12,,2450,204.2,255,698,0.365,75,273,0.275,123,182,0.676,708,59.0,115,336,451,37.6,220,128,10.7,194,88,33,
,Opponents,12,,2450,204.2,278,745,0.373,49,176,0.278,152,215,0.707,757,63.08,157,343,500,41.7,198,123,10.3,169,100,16,
