Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#34 Booher, Sara",23,175,7.6,38,1.7,137,6.0
#TM Team,23,97,4.2,36,1.6,61,2.7
"#15 Hall, P.K.",23,86,3.7,33,1.4,53,2.3
"#14 Lillis, Erin",21,86,4.1,16,0.8,70,3.3
"#25 Dougherty, Annabel",21,76,3.6,22,1.0,54,2.6
"#22 Thomas, Skylar",23,71,3.1,8,0.3,63,2.7
"#20 Rockwell, Aiyana",23,63,2.7,4,0.2,59,2.6
"#13 Marsh, Grace",22,58,2.6,11,0.5,47,2.1
"#10 Ware, Nikki",18,57,3.2,7,0.4,50,2.8
"#35 Toay, Sarah",12,51,4.3,12,1.0,39,3.3
"#11 Carchidi, Eva",20,42,2.1,11,0.6,31,1.6
"#32 Ericksen, Kelsey",23,18,0.8,2,0.1,16,0.7
"#24 Filkins, Annie",7,13,1.9,2,0.3,11,1.6
"#33 Friedman, Elena",11,8,0.7,1,0.1,7,0.6
"#05 Cordes, Eleanor",2,2,1.0,2,1.0,0,0.0
