Statistic,High,Player,Opponent
POINTS,35,"Lillis,Erin",Mt. Mercy (11/22/22)
FIELD GOALS MADE,12,"Lillis,Erin",Monmouth (IL) (01/11/23)
FIELD GOAL ATTEMPTS,24,"Lillis,Erin",Beloit (02/14/23)
3 PT FIELD GOALS MADE,7,"Ericksen,Kelsey",Lake Forest (11/19/22)
3 PT FG ATTEMPTS,10,"Ericksen,Kelsey",Lake Forest (11/19/22)
FREE THROWS MADE,12,"Lillis,Erin",Mt. Mercy (11/22/22)
FREE THROW ATTEMPTS,15,"Lillis,Erin",Mt. Mercy (11/22/22)
REBOUNDS,12,"Booher,Sara",Lake Forest (02/18/23); Beloit (01/17/23)
ASSISTS,6,"Lillis,Erin",Cornell College (01/31/23); Beloit (02/14/23)
STEALS,4,"Lillis,Erin",Beloit (02/14/23)
BLOCKED SHOTS,4,"Booher,Sara",Ripon (01/03/23)
TURNOVERS,8,"Booher,Sara",Beloit (01/17/23)
FOULS,5,"Rockwell,Aiyana; Sara Booher; Ware,Nikki",Lawrence (12/03/22); Cornell College (12/07/22); Beloit (01/17/23)
