Statistic,High,Opponent
POINTS,88,Mt. Mercy (11/22/22)
FIELD GOALS MADE,30,Beloit (02/14/23)
FIELD GOAL ATTEMPTS,77,Mt. Mercy (11/22/22)
3 PT FIELD GOALS MADE,11,Lawrence (01/07/23)
3 PT FG ATTEMPTS,31,Knox (01/25/23); Monmouth (IL) (02/04/23)
FREE THROWS MADE,25,Mt. Mercy (11/22/22)
FREE THROW ATTEMPTS,35,Mt. Mercy (11/22/22)
REBOUNDS,56,Mt. Mercy (11/22/22)
ASSISTS,19,Cornell College (01/31/23)
STEALS,13,Beloit (02/14/23)
BLOCKED SHOTS,11,Ripon (01/03/23)
TURNOVERS,28,Cornell College (12/07/22)
FOULS,22,Mt. Mercy (11/22/22)
