Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Ajinjeru, Christine",SR-4,13.09,Emory Invitational,"Mar 21, 2014",-0.2
,"Ajinjeru, Christine",SR-4,13.18,Cornell College Invitational,"Apr 5, 2014",0.0
,"Tyree, Daja",FR-1,13.4,2014 Kip Janvrin Open,"Apr 24, 2014",-3.9
,"Tyree, Daja",FR-1,13.63,2014 Jim Duncan Invitational,"Apr 11, 2014",-3.4
,"Clennon, Emily",SR-4,13.68,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",0.1
,"Tyree, Daja",FR-1,13.71,Cornell College Invitational,"Apr 5, 2014",0.0
,"Fritts, Rachel",SR-4,13.79,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",0.1
,"Clennon, Emily",SR-4,13.94,2014 Kip Janvrin Open,"Apr 24, 2014",-3.9
,"Carpenter, Becca",JR-3,14.04,Cornell College Invitational,"Apr 5, 2014",0.1
,"Robert, Miranda",JR-3,14.22,2014 Midwest Conference T&F Championships,"May 9, 2014",1.0
,"Carpenter, Becca",JR-3,14.39,2014 Jim Duncan Invitational,"Apr 11, 2014",-1.8
,"Fritts, Rachel",SR-4,14.41,2014 Jim Duncan Invitational,"Apr 11, 2014",-3.4
,"Robert, Miranda",JR-3,14.54,Cornell College Invitational,"Apr 5, 2014",0.1
,"Carpenter, Becca",JR-3,14.65,Emory Invitational,"Mar 21, 2014",-0.7
,"Schmiechen, Alex",SO-2,15.09,2014 Midwest Conference T&F Championships,"May 9, 2014",0.2
,"Peckham, Carolyn",FR-1,15.41,2014 Midwest Conference T&F Championships,"May 9, 2014",0.2
,"Schmiechen, Alex",SO-2,15.5,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",0.5
,"Peckham, Carolyn",FR-1,15.68,2014 Monmouth Fighting Scots Outdoor,"May 3, 2014",0.5
