Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Bresnahan, Cara",JR-3,37.34m,"122' 6""",Midwest Conference Outdoor Championships,"May 11, 2018"
,"Bresnahan, Cara",JR-3,36.95m,"121' 3""",Midwest Conference Outdoor Championships,"May 11, 2018"
,"Bresnahan, Cara",JR-3,36.92m,"121' 1""",Midwest Conference Outdoor Championships,"May 11, 2018"
,"Bresnahan, Cara",JR-3,36.86m,"120' 11""",Midwest Conference Outdoor Championships,"May 11, 2018"
,"Bresnahan, Cara",JR-3,34.75m,"114' 0""",Midwest Conference Outdoor Championships,"May 11, 2018"
,"Bresnahan, Cara",JR-3,34.58m,"113' 5""",Cornell Invitational,"Apr 4, 2018"
,"Bresnahan, Cara",JR-3,33.96m,"111' 5""",Midwest Conference Outdoor Championships,"May 11, 2018"
,"Bresnahan, Cara",JR-3,33.83m,"111' 0""",2018 Dick Young Invite,"Apr 21, 2018"
,"Bresnahan, Cara",JR-3,33.67m,"110' 5""",Emory Classic,"Mar 30, 2018"
,"Bresnahan, Cara",JR-3,33.51m,"109' 11""",Emory Classic,"Mar 30, 2018"
,"Bresnahan, Cara",JR-3,33.26m,"109' 1""",Emory Classic,"Mar 30, 2018"
,"Bresnahan, Cara",JR-3,33.06m,"108' 5""",2018 Kip Janvrin Open,"Apr 26, 2018"
,"Bresnahan, Cara",JR-3,32.80m,"107' 7""",Cornell Invitational,"Apr 4, 2018"
,"Bresnahan, Cara",JR-3,32.78m,"107' 6""",Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Bresnahan, Cara",JR-3,32.71m,"107' 4""",Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Bresnahan, Cara",JR-3,31.85m,"104' 6""",Emory Classic,"Mar 30, 2018"
,"Bresnahan, Cara",JR-3,31.77m,"104' 3""",2018 Dick Young Invite,"Apr 21, 2018"
,"Bresnahan, Cara",JR-3,31.55m,"103' 6""",Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Bresnahan, Cara",JR-3,31.33m,"102' 9""",Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Bresnahan, Cara",JR-3,31.32m,"102' 9""",2018 Dick Young Invite,"Apr 21, 2018"
,"Bresnahan, Cara",JR-3,30.82m,"101' 1""",Monmouth College Fighting Scots Outdoor Invitational,"May 5, 2018"
,"Bresnahan, Cara",JR-3,30.50m,"100' 1""",2018 Dick Young Invite,"Apr 21, 2018"
,"Bresnahan, Cara",JR-3,30.30m,"99' 5""",Mustang Open,"Apr 13, 2018"
,"Bresnahan, Cara",JR-3,30.25m,"99' 3""",Mustang Open,"Apr 13, 2018"
,"Bresnahan, Cara",JR-3,30.19m,"99' 0""",2018 Kip Janvrin Open,"Apr 26, 2018"
,"Bresnahan, Cara",JR-3,29.60m,"97' 1""",2018 Dick Young Invite,"Apr 21, 2018"
,"Bresnahan, Cara",JR-3,29.43m,"96' 7""",Emory Classic,"Mar 30, 2018"
,"Bresnahan, Cara",JR-3,29.38m,"96' 5""",2018 Kip Janvrin Open,"Apr 26, 2018"
,"Bresnahan, Cara",JR-3,29.25m,"95' 11""",Cornell Invitational,"Apr 4, 2018"
,"Bresnahan, Cara",JR-3,29.09m,"95' 5""",Emory Classic,"Mar 30, 2018"
,"Bresnahan, Cara",JR-3,28.99m,"95' 1""",2018 Kip Janvrin Open,"Apr 26, 2018"
,"Bresnahan, Cara",JR-3,28.69m,"94' 1""",Mustang Open,"Apr 13, 2018"
,"Bresnahan, Cara",JR-3,28.39m,"93' 2""",Cornell Invitational,"Apr 4, 2018"
,"Bresnahan, Cara",JR-3,27.62m,"90' 7""",Mustang Open,"Apr 13, 2018"
,"Bresnahan, Cara",JR-3,27.24m,"89' 4""",Mustang Open,"Apr 13, 2018"
,"Bresnahan, Cara",JR-3,25.63m,"84' 1""",2018 Dick Young Invite,"Apr 21, 2018"
