Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Strovers, Maddy",SO-2,13.81m,"45' 3.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,13.35m,"43' 9.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Strovers, Maddy",SO-2,13.35m,"43' 9.75""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,13.11m,"43' 0.25""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,13.10m,"42' 11.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,13.09m,"42' 11.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Strovers, Maddy",SO-2,12.69m,"41' 7.75""",Grinnell Invitational,"Jan 27, 2024"
,"Strovers, Maddy",SO-2,12.51m,"41' 0.5""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,12.50m,"41' 0.25""",Grinnell Invitational,"Jan 27, 2024"
,"Galowitz, Kylie",SO-2,12.42m,"40' 9""",Darren Young Classic,"Feb 10, 2024"
,"Strovers, Maddy",SO-2,12.39m,"40' 7.75""",Darren Young Classic,"Feb 10, 2024"
,"Galowitz, Kylie",SO-2,12.12m,"39' 9.25""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,12.08m,"39' 7.75""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Strovers, Maddy",SO-2,12.01m,"39' 5""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,11.99m,"39' 4""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,11.93m,"39' 1.75""",Hilltop Invitational,"Jan 20, 2024"
,"Galowitz, Kylie",SO-2,11.80m,"38' 8.75""",Grinnell Invitational,"Jan 27, 2024"
,"Galowitz, Kylie",SO-2,11.75m,"38' 6.75""",Hilltop Invitational,"Jan 20, 2024"
,"Strovers, Maddy",SO-2,11.18m,"36' 8.25""",Darren Young Classic,"Feb 10, 2024"
,"Galowitz, Kylie",SO-2,11.10m,"36' 5""",Hilltop Invitational,"Jan 20, 2024"
,"Strovers, Maddy",SO-2,11.01m,"36' 1.5""",Darren Young Classic,"Feb 10, 2024"
,"Galowitz, Kylie",SO-2,10.96m,"35' 11.5""",Grinnell Invitational,"Jan 27, 2024"
,"Strovers, Maddy",SO-2,10.52m,"34' 6.25""",Grinnell Invitational,"Jan 27, 2024"
,"Strovers, Maddy",SO-2,9.81m,"32' 2.25""",Grinnell Invitational,"Jan 27, 2024"
,"Strovers, Maddy",SO-2,9.25m,"30' 4.25""",Hilltop Invitational,"Jan 20, 2024"
,"Strovers, Maddy",SO-2,7.67m,"25' 2""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
