0,1,2,3,4,5,6,7,8,9,10,11,12
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low,Finish Top,Finish Top,Finish Top,Finish Top,,
Player,Rounds,Strokes,54-holes,36-holes,18-holes,Round,Events,1,5,10,Average,Seasons
Emily Adam,17,2070,320,217,105,100,10,-,-,-,121.8,2013-14
Elizabeth Burnett,30,2694,251,160,85,79,16,-,2,2,89.8,2010-12
Samanike Hengst,10,944,302,180,89,87,6,-,-,2,94.4,2014
Natalie Klee,33,2984,278,174,83,83,18,-,1,4,90.4,2010-12
Kayleigh Kresse,42,3734,253,164,83,79,23,-,4,9,88.9,2011-14
Ashlen Matzdorf,6,590,-,197,95,95,4,-,-,-,98.3,2010
Mallory Messin,35,2980,245,158,77,77,20,-,9,11,85.1,2010-12
Alex Plemmons,48,4296,269,163,84,79,25,-,3,10,89.5,2011-14
Stephanie Spahr,51,4590,269,164,82,81,27,-,3,8,90.0,2010-13
Hailey Speck,45,4043,266,164,80,80,24,1,6,13,89.8,2011-14
Elaine Teo,17,1649,299,186,89,89,10,-,-,1,97.0,2010-11
Lauren Yi,12,1131,292,177,87,86,7,-,-,2,94.3,2014
