0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Wartburg Fall Invite,9/6/2014,2,91-99=190,+46,t-73rd/93
Central Fall Invitational,9/13/2014,1,98,+26,8th/25
Pheasant Ridge Tournament,9/21/2014,1,87,+15,t-7th/28
2014 Grinnell College Invitational,9/27/2014,1,98,+26,22nd/26
2014 Midwest Conference Championship,10/3-5/2014,3,102-95-95=292,+73,16th/40
Estralla Mountain Invite,3/17-18/2015,2,86-91=177,+33,15th/0
Mount Mercy Spring Invitational,4/11-12/15,2,94-95=189,+45,t-29th/59
Wartburg Women's Golf Spring Invite,4/18/2015,2,87-91=178,+34,t-16th/28
2015 NCAA Women's Golf Championship,"May 12-15, 2015",4,101-98-91-93=383,+95,t-97th/110
SEASON TOTALS,SEASON TOTALS,18,1692 Avg. 94.0,+22,-
