0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Luther Sail Classic,"Sep 1, 2018",1,78,+6,t-10th/65
Wartburg Women's Fall Invite,"Sep 8-9, 2018",2,79-75=154,+10,t-14th/96
Illinois Wesleyan Fall Classic,"Sep 15-16, 2018",2,71-76=147,+3,t-4th/93
NCAA Division III National Preview,"Sep 24-25, 2018",2,75-74=149,+5,2nd/5
Midwest Conference Championships,"Oct 6-7, 2018",2,80-76=156,+10,t-2nd/31
WashU Invite,"Apr 6-7, 2019",2,78-79=157,+13,t-21st/84
Kathy Niepagen Spring Fling,"Apr 13, 2019",1,76,+4,t-6th/92
UW-Whitewater Spring Fling,"Apr 19-20, 2019",2,85-77=162,+18,10th/0
2019 NCAA D-III National Championships,"May 14-17, 2019",4,84-76-74-77=311,+23,
SEASON TOTALS,SEASON TOTALS,18,1390 Avg. 77.2,+5,-
