0,1,2,3,4
"Best Scoring Average, Season (Min. 5 rounds)","Best Scoring Average, Season (Min. 5 rounds)","Best Scoring Average, Season (Min. 5 rounds)","Best Scoring Average, Season (Min. 5 rounds)","Best Scoring Average, Season (Min. 5 rounds)"
Average,Player,Season,Rounds,Strokes
72.4,Meilin Hoshino,2024-25,9,652
73.6,Vidushi Keni,2024-25,9,662
74.3,Vidushi Sinha,2016-17,14,1040
74.6,Nina Kouchi,2019-20,9,671
74.7,Amy Nguyen,2024-25,9,672
74.8,Meilin Hoshino,2023-24,14,1047
75.3,Vrishali Sinha,2016-17,14,1054
75.5,Nina Kouchi,2021-22,12,906
75.6,Vidushi Sinha,2017-18,13,983
75.7,Vidushi Sinha,2018-19,18,1362
75.8,Kavya Keshav,2024-25,9,682
76.0,Mary Li,2024-25,7,532
76.1,Vrishali Sinha,2015-16,14,1065
76.4,Nina Kouchi,2020-21,10,764
76.7,Vrishali Sinha,2017-18,13,997
76.8,Nina Kouchi,2018-19,18,1382
77.0,Lauren Chen,2021-22,12,924
77.2,Vrishali Sinha,2018-19,18,1390
77.7,Mary Li,2021-22,12,932
77.8,Vidushi Sinha,2015-16,14,1089
77.8,Saya Geisendorfer,2024-25,5,389
77.9,Vidushi Keni,2023-24,18,1403
78.0,Emily Lackershire,2024-25,9,702
78.3,Kavya Keshav,2022-23,15,1174
78.4,Mary Li,2022-23,15,1176
