Date,Opponent,W/L,Score,Overall,Conference,Attend,Goals Scored [Assist]
9/1/2011,at Cornell College,L,1-2,(0-1),,84,Kathryn Vincent (1) (Rachael Koester)
9/3/2011,vs Augsburg College,W,3-2,(1-1),,64,Cynthia Dominguez (0) (Morgan Sullivan)  Patty Murphy-Geiss (0) Patty Murphy-Geiss (0) (Kathryn Vincent)
9/10/2011,vs Univ. of Dubuque,L,0-1,(1-2),,138,
9/14/2011,at Coe,T,1-1,(1-2-1),,157,Hannah Safter (1)
9/17/2011,at Monmouth College,W,3-0,"(2-2-1, 1-0-0)",1-0-0,105,Cynthia Dominguez (2) (Patty Murphy-Geiss)  Sarah Jensen (1) (Elle Silverman)  Patty Murphy-Geiss (3) (Abby Jaeger)
9/18/2011,vs Central College,L,1-2,(2-3-1),,59,Hannah Safter (2)
9/24/2011,at Lawrence University,W,3-2,"(3-3-1, 2-0-0 MWC)",2-0-0 MWC,57,"Patty Murphy-Geiss (4) Rachel Weinstein (1) (Patty Murphy-Geiss)  Kirsten Louthan (1) (Julia Sauerhaft , Patty Murphy-Geiss)"
9/25/2011,at UW-Oshkosh,W,2-1,(4-3-1),,160,Patty Murphy-Geiss (5) (Abby Jaeger)  Sarah Jensen (2)
10/1/2011,vs St. Norbert College,W,4-3,"(5-3-1, 3-0-0 MWC)",3-0-0 MWC,107,"Abby Jaeger (1) (Eden Marek , Rachael Koester)  Rachel Weinstein (2) Sarah Jensen (3) (Abby Jaeger)  Patty Murphy-Geiss (6) (Eden Marek)"
10/2/2011,vs St. Catherine Univ.,W,2-1,(6-3-1),,89,Julia Sauerhaft (1) (Morgan Sullivan)  Pauline Zheng (1) (Sarah Jensen)
10/8/2011,vs Lake Forest College,W,5-1,"(7-3-1, 4-0-0 MWC)",4-0-0 MWC,89,Pauline Zheng (2) (Sarah Jensen)  Nicole Sipfle (1) (Kathryn Vincent)  Sarah Jensen (4) (Kathryn Vincent)  Patty Murphy-Geiss (7) (Kathryn Vincent)  Mackenzie Shanahan (1) (Alison Bayly)
10/15/2011,at Illinois College,T,0-0,(7-3-2 (4-0-1 MWC)),,100,
10/17/2011,at Principia College,L,0-3,(7-4-2),,50,
10/22/2011,at Beloit College,W,5-0,"(8-4-2, 5-0-1 MWC)",5-0-1 MWC,100,"Rachael Koester (0) (Jordan Young)  Becca Carter (0) Rachael Koester (0) (Eden Marek)  TEAM (0) Elle Silverman (0) (Mary Ulseth , Kirsten Louthan)"
10/23/2011,at Carroll (Wis.),L,0-2,"(8-5-2, 5-1-1 MWC)",5-1-1 MWC,113,
10/29/2011,vs Ripon College,W,3-0,"(9-5-2, 6-1-1 MWC)",6-1-1 MWC,102,Becca Carter (0) Julia Sauerhaft (0) (Rachael Koester)  Kathryn Vincent (0) (Abby Jaeger)
10/30/2011,vs Knox College,W,5-0,"(10-5-2, 7-1-1 MWC)",7-1-1 MWC,127,Morgan Sullivan (0) Cynthia Dominguez (0) Hannah Safter (0) Abby Jaeger (0) (Elle Silverman)  Elle Silverman (0) (Kirsten Louthan)
11/4/2011,at Carroll Univ.,L,0-1,(10-6-2),,125,
