#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
3.0,"Murphy-Geiss, Patty 3Murphy-Geiss, Patty",10,9,359,5,1,11,20,0.25,12,0.6,0-0,1,0-1,View Bio
17.0,"Vincent, Kathryn 17Vincent, Kathryn",10,10,394,5,0,10,23,0.217,11,0.478,0-0,2,1-1,View Bio
25.0,"Hofammann, Dabney 25Hofammann, Dabney",10,0,275,3,1,7,12,0.25,8,0.667,1-0,1,0-0,View Bio
21.0,"Gray, Maddie 21Gray, Maddie",10,0,336,2,0,4,12,0.167,7,0.583,0-0,1,1-1,View Bio
15.0,"Jaeger, Abby 15Jaeger, Abby",10,10,383,1,2,4,8,0.125,3,0.375,0-0,0,0-0,View Bio
24.0,"Semlow, Andie 24Semlow, Andie",10,0,332,1,2,4,6,0.167,3,0.5,0-0,0,0-0,View Bio
8.0,"Shanahan, MacKenzie 8Shanahan, MacKenzie",10,9,314,1,2,4,6,0.167,4,0.667,0-0,0,0-0,View Bio
16.0,"Sipfle, Nicole 16Sipfle, Nicole",10,9,472,2,0,4,6,0.333,6,1.0,0-0,0,0-0,View Bio
23.0,"Zheng, Pauline 23Zheng, Pauline",8,0,107,2,0,4,4,0.5,3,0.75,0-0,1,0-0,View Bio
12.0,"Jensen, Sarah 12Jensen, Sarah",10,5,273,1,1,3,4,0.25,3,0.75,0-0,0,0-0,View Bio
2.0,"Smith, Eva 2Smith, Eva",10,5,405,1,1,3,13,0.077,8,0.615,0-0,0,0-0,View Bio
7.0,"Stacey, Kristen 7Stacey, Kristen",8,5,313,1,1,3,6,0.167,3,0.5,0-0,0,0-0,View Bio
19.0,"Safter, Hannah 19Safter, Hannah",9,0,277,1,0,2,5,0.2,3,0.6,0-0,0,0-0,View Bio
13.0,"Silverman, Elle 13Silverman, Elle",8,4,430,1,0,2,4,0.25,4,1.0,0-0,1,0-0,View Bio
5.0,"Weinstein, Rachel 5Weinstein, Rachel",3,1,29,1,0,2,2,0.5,2,1.0,0-0,0,0-0,View Bio
11.0,"Hardy, Kathryn 11Hardy, Kathryn",10,10,457,0,1,1,5,0.0,3,0.6,0-0,0,0-0,View Bio
9.0,"Koester, Rachael 9Koester, Rachael",9,1,185,0,1,1,7,0.0,6,0.857,0-0,0,0-0,View Bio
20.0,"Mamantov, Maggie 20Mamantov, Maggie",10,5,339,0,1,1,4,0.0,2,0.5,0-0,0,0-0,View Bio
18.0,"Sauerhaft, Julia 18Sauerhaft, Julia",10,0,167,0,1,1,1,0.0,1,1.0,0-0,0,0-0,View Bio
22.0,"Bresette-buccino, N 22Bresette-buccino, N",10,6,363,0,0,0,0,0.0,0,0.0,0-0,0,0-0,
27.0,"Hodo, Amanda 27Hodo, Amanda",2,0,4,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
14.0,"Hubler, Brittany 14Hubler, Brittany",3,0,91,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
30.0,"Manley, Devon 30Manley, Devon",1,0,6,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
6.0,"Marek, Eden 6Marek, Eden",5,2,262,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
26.0,"Moore, Allison 26Moore, Allison",6,1,126,0,0,0,4,0.0,0,0.0,0-0,0,0-0,View Bio
1.0,"Oldach, Katy 1Oldach, Katy",10,2,464,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
10.0,"Sullivan, Morgan 10Sullivan, Morgan",10,7,459,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
4.0,"Ulseth, Mary 4Ulseth, Mary",7,1,164,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
0.0,"Young, Jordan 0Young, Jordan",8,8,340,0,0,0,0,0.0,0,0.0,0-0,0,0-0,View Bio
,Total,10,-,8126,28,15,71,155,0.181,93,0.6,1-0,7,2-3,
,Opponent,10,-,7804,9,3,21,74,0.122,44,0.595,4-0,3,1-1,
