Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
9/1/2016,at Simpson,0-0,0,0,0,18,0.0,7,0.389,0-0,0,0-0,1212
9/3/2016,vs Augsburg,0-4,0,0,0,2,0.0,2,1.0,0-0,0,0-0,985
9/7/2016,at Central,0-2,0,0,0,8,0.0,6,0.75,0-0,0,0-0,939
9/9/2016,at Grand View Univ.,0-2,0,0,0,7,0.0,3,0.429,0-0,0,0-0,920
9/11/2016,at Buena Vista,2-0,2,1,5,14,0.143,6,0.429,0-0,1,0-0,997
9/13/2016,vs Coe,1-2,1,0,2,14,0.071,9,0.643,0-0,0,0-0,1156
9/17/2016,vs Nebraska Wesleyan,2-0,2,0,4,14,0.143,5,0.357,2-0,1,1-1,991
9/24/2016,at Beloit College,3-1,3,1,7,13,0.231,7,0.538,0-0,1,0-0,0
9/25/2016,at Lake Forest,0-0,0,0,0,14,0.0,4,0.286,0-0,0,0-0,1211
9/29/2016,at Cornell College,6-0,6,2,14,22,0.273,13,0.591,0-0,1,1-1,970
10/1/2016,vs Illinois College,1-2,1,1,3,18,0.056,10,0.556,0-0,0,0-0,992
10/8/2016,vs Knox,0-1,0,0,0,11,0.0,3,0.273,1-0,0,0-0,974
10/15/2016,vs St. Norbert College,2-1,2,0,4,8,0.25,5,0.625,2-0,1,0-0,975
10/16/2016,vs Lawrence University,1-0,1,0,2,27,0.037,14,0.519,0-0,1,0-0,991
10/20/2016,at Concordia-Chicago,2-0,2,0,4,15,0.133,8,0.533,0-0,1,1-1,990
10/22/2016,at Ripon College,3-2,3,2,8,19,0.158,7,0.368,0-0,1,0-0,977
10/29/2016,at Monmouth College,2-1,2,1,5,11,0.182,4,0.364,0-0,1,0-0,1012
11/4/2016,at Lake Forest,2-2,2,0,4,12,0.167,8,0.667,0-0,0,2-2,1165
11/5/2016,at Knox,0-1,0,0,0,7,0.0,2,0.286,2-0,0,0-0,1041
Total,,27-21,27,8,62,254,0.106,123,0.484,7-0,9,5-5,18498
Opponent,,-,21,15,57,212,0.099,117,0.552,7-0,7,-,18481
