#,Player,GP,GS,MIN,G,A,PTS,SH,SH%,SOG,SOG%,YC-RC,GW,PG-PA,Bio Link
7,"Alvarez, Valencia 7Alvarez, Valencia",18,16,1035,6,6,18,41,0.146,21,0.512,0-0,1,1-1,View Bio
14,"Varias, Francesca 14Varias, Francesca",18,16,754,6,4,16,43,0.14,24,0.558,0-0,2,0-0,View Bio
2,"Bambi, Simona 2Bambi, Simona",18,16,1078,6,2,14,35,0.171,21,0.6,0-0,2,0-0,
16,"Maddaus, Jordan 16Maddaus, Jordan",15,14,720,5,4,14,41,0.122,18,0.439,0-0,1,0-0,View Bio
20,"Richards, Kitt 20Richards, Kitt",18,5,557,3,2,8,43,0.07,18,0.419,0-0,1,0-0,View Bio
15,"Holtzman, Gwen 15Holtzman, Gwen",18,15,1110,3,0,6,6,0.5,4,0.667,0-0,2,0-0,View Bio
10,"Zarkin-Scott, Shaina 10Zarkin-Scott, Shaina",18,16,762,2,1,5,15,0.133,5,0.333,0-0,1,0-0,View Bio
17,"Weiss, LilyRose 17Weiss, LilyRose",18,13,960,1,2,4,16,0.063,7,0.438,0-0,0,0-0,View Bio
24,"Edwards, Lauren 24Edwards, Lauren",17,17,1145,0,3,3,8,0.0,2,0.25,0-0,0,0-0,View Bio
5,"Kaspar, Celeste 5Kaspar, Celeste",17,13,863,1,1,3,2,0.5,2,1.0,0-0,0,0-0,View Bio
22,"Kayim-yanko, Esme 22Kayim-yanko, Esme",17,6,774,1,1,3,21,0.048,11,0.524,2-0,0,0-0,
8,"Berleman-Paul, Quinn 8Berleman-Paul, Quinn",12,0,167,1,0,2,17,0.059,9,0.529,0-0,0,0-0,View Bio
4,"Radakovich, Alyssa 4Radakovich, Alyssa",13,0,255,1,0,2,11,0.091,7,0.636,0-0,0,0-0,View Bio
21,"Carr, Cally 21Carr, Cally",4,0,30,0,1,1,1,0.0,1,1.0,0-0,0,0-0,View Bio
3,"Hurley, Lauren 3Hurley, Lauren",18,18,1035,0,1,1,16,0.0,7,0.438,0-0,0,0-0,View Bio
12,"Salpekar, Elyse 12Salpekar, Elyse",16,1,340,0,1,1,6,0.0,4,0.667,0-0,0,0-0,View Bio
19,"Schwiebert, Issy 19Schwiebert, Issy",8,0,70,0,1,1,3,0.0,2,0.667,0-0,0,0-0,View Bio
23,"Thurman, Michellie 23Thurman, Michellie",5,0,76,0,1,1,1,0.0,0,0.0,0-0,0,0-0,View Bio
26,"Bunnell, Eliza 26Bunnell, Eliza",16,5,609,0,0,0,3,0.0,3,1.0,0-0,0,0-0,View Bio
18,"Engelhardt, Anna 18Engelhardt, Anna",6,0,152,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
13,"Hellweg, Abigail 13Hellweg, Abigail",11,8,651,0,0,0,1,0.0,1,1.0,0-0,0,0-0,View Bio
0,"Hunt, Elizabeth 0Hunt, Elizabeth",8,3,409,0,0,0,0,0.0,0,0.0,1-0,0,0-0,View Bio
1,"Kasprak, Regan 1Kasprak, Regan",15,15,941,0,0,0,0,0.0,0,0.0,0-1,0,0-0,View Bio
27,"Remash, Halle 27Remash, Halle",3,0,19,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
25,"Remash, Marli 25Remash, Marli",2,1,5,0,0,0,1,0.0,0,0.0,0-0,0,0-0,View Bio
9,"Reynolds, Haley 9Reynolds, Haley",9,0,130,0,0,0,5,0.0,3,0.6,0-0,0,0-0,View Bio
6,"Torres, Juliet 6Torres, Juliet",12,0,274,0,0,0,2,0.0,0,0.0,0-0,0,0-0,View Bio
TM,Team TMTeam,1,0,0,1,0,2,0,0.0,1,0.0,0-0,0,0-0,
,Total,18,-,14921,37,31,105,340,0.109,172,0.506,4-1,10,1-1,
,Opponent,18,-,14823,27,17,71,175,0.154,91,0.52,4-0,8,2-2,
