Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
8/30/2019,"Dubuque, Univ. of,",2-0,90:00,0,0.0,2,1.0,1,0,0,1,8
9/5/2019,Coe,1-0,90:00,0,0.0,5,1.0,1,0,0,1,7
9/7/2019,Buena Vista,0-7,90:00,7,2.33,14,0.667,0,1,0,0,38
9/8/2019,Carleton,5-1,90:00,1,2.0,4,0.8,1,0,0,0,9
9/14/2019,Bethany Lutheran,0-3,90:00,3,2.2,10,0.769,0,1,0,0,22
9/18/2019,Simpson,1-1,90:00,1,2.0,2,0.667,0,0,1,0,8
9/21/2019,Edgewood College,0-1,90:00,1,1.86,3,0.75,0,1,0,0,6
9/24/2019,Neb. Wesleyan,2-0,90:00,0,1.63,4,1.0,1,0,0,1,7
9/28/2019,Lake Forest,0-0,110:00,0,1.41,3,1.0,0,0,1,1,12
9/29/2019,Lawrence University,0-2,90:00,2,1.47,11,0.846,0,1,0,0,14
10/5/2019,Beloit,0-5,90:00,5,1.78,9,0.643,0,1,0,0,20
10/12/2019,Knox,1-0,90:00,0,1.64,2,1.0,1,0,0,1,5
10/19/2019,Ripon,2-3,90:00,3,1.74,16,0.842,0,1,0,0,27
10/20/2019,St. Norbert,1-1,110:00,1,1.66,8,0.889,0,0,1,0,17
10/23/2019,Cornell College,1-0,90:00,0,1.55,7,1.0,1,0,0,1,16
10/26/2019,Monmouth College,2-1,90:00,1,1.52,3,0.75,1,0,0,0,7
11/02/2019,Illinois Col.,0-3,90:00,3,1.61,21,0.875,0,1,0,0,47
Totals,,-,1570,28,1.61,124,0.816,7,7,3,6,270
Grinnell,,-,1570:00,18,1.03,89,0.832,7,7,3,7,179
