Date,Opponent,Score,Minutes,GA,GAAvg,Saves,Save %,W,L,T,SHO,Faced
09/01/2023,Dubuque,2-0,90:00,0,0.0,3,1.0,1,0,0,1,9
9/2/2023,Coe,1-0,90:00,0,0.0,1,1.0,1,0,0,1,7
09/09/2023,Carleton,0-2,90:00,2,0.67,13,0.867,0,1,0,0,30
09/10/2023,Luther,0-0,90:00,0,0.5,5,1.0,0,0,1,1,10
09/14/2023,Simpson,0-2,90:00,2,0.8,15,0.882,0,1,0,0,29
09/20/2023,Central (IA),0-0,90:00,0,0.67,6,1.0,0,0,1,1,14
09/23/2023,Lake Forest,1-1,90:00,1,0.71,3,0.75,0,0,1,0,8
09/26/2023,Knox,5-0,90:00,0,0.63,1,1.0,1,0,0,1,1
09/30/2023,Ripon,3-0,90:00,0,0.56,2,1.0,1,0,0,1,2
10/07/2023,Illinois Col.,4-0,90:00,0,0.5,2,1.0,1,0,0,1,3
10/08/2023,Saint Mary's (MN),0-1,90:00,1,0.55,6,0.857,0,1,0,0,12
10/14/2023,Augustana (IL),1-0,90:00,0,0.5,4,1.0,1,0,0,1,7
10/15/2023,Buena Vista,7-0,90:00,0,0.46,0,0.0,1,0,0,1,2
10/18/2023,Cornell College,2-0,90:00,0,0.43,0,0.0,1,0,0,1,1
10/21/2023,Beloit,1-1,90:00,1,0.47,2,0.667,0,0,1,0,4
10/24/2023,Monmouth (IL),4-0,90:00,0,0.44,3,1.0,1,0,0,1,5
10/28/2023,Lawrence,1-1,90:00,1,0.47,8,0.889,0,0,1,0,16
11/03/2023,Lawrence,1-0,90:00,0,0.44,7,1.0,1,0,0,1,16
11/04/2023,Lake Forest,0-4,90:00,4,0.63,2,0.333,0,1,0,0,9
Totals,,-,1710,12,0.63,83,0.874,10,4,5,12,185
Opponent,,-,1710:00,33,1.74,118,0.781,4,10,5,6,313
