Date,Opponent,Score,G,A,PTS,SH,Shot%,SOG,SOG%,YC-RC,GW,PK-ATT,Min
08/30/2024,Dubuque,3-0,3,3,9,23,0.13,10,0.435,0-0,1,0-0,989
09/01/2024,Coe,0-3,0,0,0,0,0.0,0,0.0,1-0,0,0-0,1039
09/06/2024,Mt. Mercy,1-2,1,2,4,12,0.083,9,0.75,1-0,0,0-0,990
09/08/2024,Saint Mary's (MN),0-0,0,0,0,6,0.0,3,0.5,0-0,0,0-0,944
09/11/2024,Simpson,4-0,4,3,11,16,0.25,8,0.5,0-0,1,0-0,990
09/14/2024,Benedictine (IL),0-4,0,0,0,2,0.0,0,0.0,2-0,0,0-0,990
09/28/2024,Lake Forest,4-0,4,3,11,14,0.286,12,0.857,0-0,1,0-0,990
10/02/2024,Knox,0-2,0,0,0,3,0.0,1,0.333,0-0,0,0-0,990
10/05/2024,Ripon,1-2,1,0,2,5,0.2,2,0.4,2-0,0,0-0,990
10/06/2024,Edgewood College,1-0,1,1,3,9,0.111,7,0.778,1-0,1,0-0,990
10/12/2024,Illinois Col.,0-1,0,0,0,12,0.0,4,0.333,0-0,0,0-0,990
10/19/2024,Augustana (IL),1-1,1,1,3,11,0.091,7,0.636,1-0,0,0-0,990
10/22/2024,Cornell College,0-5,0,0,0,1,0.0,1,1.0,0-0,0,0-0,990
10/26/2024,Beloit,0-1,0,0,0,2,0.0,1,0.5,0-0,0,0-0,990
10/30/2024,Monmouth (IL),1-1,1,1,3,9,0.111,4,0.444,0-0,0,0-0,990
11/02/2024,Lawrence,6-0,6,4,16,21,0.286,13,0.619,0-0,1,1-1,990
11/08/2024,Lawrence,1-0,1,1,3,13,0.077,10,0.769,1-0,1,0-0,990
Total,,23-22,23,19,65,159,0.145,92,0.579,9-0,6,1-1,16832
Grinnell,,-,22,11,55,170,0.129,87,0.512,5-0,8,-,16830
