#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
2.0,"Wilke, Summer 2 Wilke, Summer",102,63,34,5,0.951,1,41,3,8,0,View Bio
15.0,"Bean, Alyssa 15 Bean, Alyssa",169,137,23,9,0.947,1,19,0,0,0,View Bio
6.0,"Fulton, Jennifer 6 Fulton, Jennifer",76,26,45,5,0.934,0,15,2,0,0,View Bio
3.0,"Ryan, Grace 3 Ryan, Grace",95,59,29,7,0.926,0,29,2,5,0,View Bio
4.0,"Wendt, Aniela 4 Wendt, Aniela",49,42,3,4,0.918,0,0,0,0,0,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",41,22,15,4,0.902,0,8,0,6,0,View Bio
8.0,"Fujimoto, Lindsay 8 Fujimoto, Lindsay",38,31,2,5,0.868,0,0,0,0,0,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",63,19,33,11,0.825,0,0,0,0,0,View Bio
5.0,"Au , Jeanette 5 Au , Jeanette",139,64,43,32,0.77,0,0,0,0,0,View Bio
22.0,"Hirsh, Alissa 22 Hirsh, Alissa",16,6,6,4,0.75,0,0,0,0,0,View Bio
1.0,"Campbell, Robin 1 Campbell, Robin",18,13,0,5,0.722,0,0,0,0,0,View Bio
17.0,"Lee, Connie 17 Lee, Connie",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,806,482,233,91,0.887,1,112,7,19,0,
,Opponents,764,521,223,20,0.974,6,54,10,10,0,
