Statistic,High,Player,Opponent
AT BATS,4,Lydia Stariha; Sage Juveland,Augsburg College (3/20/2014); Knox College (4/19/2014)
RUNS SCORED,2,Teresa Villarreal; Lydia Stariha; Megan Gibson,Knox College (4/19/2014); Greenville College (4/21/2014); Monmouth College (4/26/2014)
HITS,3,Lydia Stariha,Greenville College (4/21/2014)
RBIS,2,Kristina Weber; Megan Gibson,Greenville College (4/21/2014); Carroll University (4/11/2014)
DOUBLES,1,Summer Wilke; Lydia Stariha; Teresa Villarreal; Laura Flannery; Sage Juveland,UW-Eau Claire (3/18/2014); Illinois College (4/5/2014); Beloit College (4/12/2014); Greenville College (4/21/2014); Marian University (3/20/2014)
TRIPLES,1,Sage Juveland; Lydia Stariha,Knox College (4/19/2014); Greenville College (4/21/2014)
WALKS,2,Lydia Stariha,St. Norbert College (4/13/2014); Knox College (4/19/2014)
STRIKEOUTS,2,Kristina Weber; Teresa Villarreal; Lydia Stariha; Amanda Mages; Laura Flannery,UW-Eau Claire (3/18/2014); UW-La Crosse (3/21/2014); Beloit College (4/12/2014); St. Norbert College (4/13/2014); Knox College (4/19/2014)
SAC HITS,2,Sage Juveland,St. Norbert College (4/13/2014); Marian University (3/20/2014)
STOLEN BASES,1,Lydia Stariha; Jordan Matosky,Augsburg College (3/20/2014); Knox College (4/19/2014); Knox College (4/19/2014); Greenville College (4/21/2014); Monmouth College (4/26/2014)
HIT BY PITCH,1,Laura Flannery; Teresa Villarreal; Lydia Stariha,UW-La Crosse (3/21/2014); Greenville College (4/21/2014); Lake Forest College (4/27/2014)
CAUGHT STEALING,1,Lydia Stariha,UW-La Crosse (3/21/2014); Illinois College (4/5/2014); Knox College (4/19/2014); Greenville College (4/21/2014)
HIT INTO DP,1,Sage Juveland; Megan Gibson; Lydia Stariha,UW-La Crosse (3/21/2014); Illinois College (4/5/2014); Greenville College (4/21/2014); Cornell College (4/16/2014)
