#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",0.435,1.067,35-35,115,21,50,6,2,4,25,72,0.626,2,0,2,0,0.441,1,0,2-2,View Bio
8.0,"Juveland, Sage 8 Juveland, Sage",0.42,1.058,32-32,100,21,42,5,2,3,23,60,0.6,7,0,4,1,0.458,0,4,8-8,View Bio
18.0,"Stariha, Lydia 18 Stariha, Lydia",0.347,0.838,35-35,121,28,42,8,1,1,4,55,0.455,7,0,9,0,0.383,0,2,11-15,View Bio
7.0,"Weber, Kristina 7 Weber, Kristina",0.32,0.763,35-35,100,15,32,6,2,0,15,42,0.42,4,0,21,2,0.343,1,2,0-0,View Bio
4.0,"Leff, Andi 4 Leff, Andi",0.288,0.735,35-35,104,20,30,5,1,1,14,40,0.385,6,5,15,1,0.35,2,6,0-0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",0.257,0.735,35-35,101,16,26,3,2,3,20,42,0.416,9,1,15,0,0.319,2,2,0-0,View Bio
11.0,"Gibson, Megan 11 Gibson, Megan",0.253,0.686,35-35,95,18,24,6,0,1,19,33,0.347,11,2,11,0,0.339,1,2,0-0,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",0.204,0.485,35-35,98,6,20,2,1,0,6,24,0.245,5,0,14,0,0.24,1,5,0-0,View Bio
16.0,"Matosky, Jordan 16 Matosky, Jordan",0.161,0.395,35-35,87,7,14,1,0,0,7,15,0.172,4,3,15,0,0.223,0,5,0-2,View Bio
,3  3,0.143,0.429,6-4,7,0,1,1,0,0,0,2,0.286,0,0,2,0,0.143,0,0,0-0,
,15  15,0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,
,Totals,0.302,0.76,35-35,929,152,281,43,11,13,133,385,0.414,55,11,109,4,0.346,8,28,21-27,
,Opponents,0.398,1.003,35-35,1064,298,423,83,19,22,272,610,0.573,54,12,71,1,0.43,6,14,54-61,
