Statistic,High,Player,Opponent
INNINGS PITCHED,7.0,Melissa Anderson; Maggie Remus,Westminster College (4/2/2015); Mount Mercy Univ. (4/4/2015); Iowa Wesleyan (4/21/2015); Lake Forest College (4/25/2015); Lake Forest College (4/25/2015)
RUNS ALLOWED,14.0,Melissa Anderson,Cornell College (4/15/2015)
EARNED RUNS,12.0,Maggie Remus,Lawrence University (4/10/2015)
WALKS ALLOWED,5.0,Maggie Remus,Carroll University (4/12/2015)
STRIKEOUTS,5.0,Melissa Anderson,Illinois College (4/19/2015)
HITS ALLOWED,17.0,Melissa Anderson,Cornell College (4/15/2015)
DOUBLES ALLOWED,5.0,Maggie Remus,Lawrence University (4/10/2015); Buena Vista (4/28/2015)
TRIPLES ALLOWED,2.0,Maggie Remus; Melissa Anderson; Megan Gibson,Iowa Wesleyan (4/21/2015); Lake Forest College (4/25/2015); Lake Forest College (4/25/2015); Redlands (3/17/2015)
HOME RUNS ALLOWED,2.0,Melissa Anderson,Mount Mercy Univ. (4/4/2015); Mount Mercy Univ. (4/4/2015); Augsburg College (3/18/2015); AIB College of Bus. (3/28/2015)
WILD PITCHES,3.0,Melissa Anderson,Buena Vista (4/28/2015)
HIT BATTERS,2.0,Melissa Anderson,Illinois College (4/19/2015)
