Statistic,High,Opponent
INNINGS PITCHED,7.0,Westminster College (4/2/2015); Westminster College (4/2/2015); Mount Mercy Univ. (4/4/2015); Mount Mercy Univ. (4/4/2015); Lawrence University (4/10/2015)
RUNS ALLOWED,17.0,Lawrence University (4/10/2015)
EARNED RUNS,17.0,Lawrence University (4/10/2015)
WALKS ALLOWED,7.0,Carroll University (4/12/2015)
STRIKEOUTS,5.0,Iowa Wesleyan (4/21/2015); Illinois College (4/19/2015)
HITS ALLOWED,20.0,Lawrence University (4/10/2015)
DOUBLES ALLOWED,5.0,Augsburg College (3/18/2015); Lawrence University (4/10/2015); Redlands (3/17/2015); Buena Vista (4/28/2015)
TRIPLES ALLOWED,3.0,Iowa Wesleyan (4/21/2015)
HOME RUNS ALLOWED,3.0,Mount Mercy Univ. (4/4/2015)
WILD PITCHES,3.0,Buena Vista (4/28/2015)
HIT BATTERS,2.0,Lawrence University (4/10/2015); Illinois College (4/19/2015)
