Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/24/2019,vs,U of St. Thomas,L,0-9,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,18,8,1,0.1
2/24/2019,vs,UW-Stout,L,6-12,30,6,9,5,1,1,0,4,0,5,0,1,0,0,0,2,18,7,2,0.3
3/17/2019,vs,Springfield,L,6-10,31,6,10,6,1,2,1,1,0,3,0,0,0,0,0,5,18,8,2,0.323
3/17/2019,vs,St. Joseph's (L.I.),L,7-10,32,7,10,6,1,1,0,3,1,5,0,1,0,2,0,3,21,9,2,0.313
3/18/2019,vs,Bowdoin,L,6-14,23,6,7,6,2,0,0,0,0,3,0,1,1,0,0,1,15,7,1,0.304
3/18/2019,vs,Tufts University,L,0-8,16,0,2,0,1,0,0,5,0,0,0,0,0,0,0,5,12,7,0,0.125
3/19/2019,vs,Calvin College,L,0-15,17,0,4,0,1,0,0,2,0,0,0,0,0,0,0,4,15,5,5,0.235
3/19/2019,vs,Benedictine (Ill.),L,0-8,25,0,8,0,0,0,0,0,0,1,1,0,0,0,0,1,16,5,1,0.32
3/21/2019,vs,Concordia Univ.-Wis.,L,3-4,26,3,6,3,0,0,1,2,0,0,1,0,0,0,0,9,18,10,1,0.231
3/21/2019,vs,Marian Univ.,L,1-10,18,1,4,1,0,0,1,2,0,0,0,0,1,0,0,2,15,6,4,0.222
3/22/2019,vs,Rowan University,W,5-4,31,5,6,4,1,1,1,2,0,0,1,0,0,0,0,10,24,10,2,0.194
3/22/2019,vs,Rutgers-Newark,W,5-3,27,5,9,5,1,0,1,1,0,1,0,0,1,0,0,8,21,12,1,0.333
3/26/2019,at,Loras,L,0-10,19,0,3,0,1,0,0,1,0,0,0,0,0,0,0,4,12,4,2,0.158
3/26/2019,at,Loras,L,6-9,35,6,11,4,3,0,0,0,0,1,0,1,0,0,0,3,18,13,4,0.314
3/28/2019,at,Buena Vista Univ.,L,2-4,19,2,3,1,0,0,0,7,0,1,2,1,1,1,0,3,18,12,1,0.158
3/28/2019,at,Buena Vista Univ.,L,1-9,21,1,7,1,3,1,0,1,0,0,0,0,0,0,0,4,13,9,2,0.333
3/31/2019,,Wis.-Stevens Point,L,4-5,27,4,8,4,2,0,1,3,1,2,0,0,1,1,0,4,21,16,0,0.296
3/31/2019,,Wis.-Stevens Point,W,12-7,31,12,15,9,2,0,1,10,0,6,1,0,1,1,0,6,21,9,1,0.484
4/6/2019,,Lake Forest,W,5-3,23,5,9,4,2,0,0,6,3,0,0,0,1,1,0,4,21,11,4,0.391
4/6/2019,,Lake Forest,L,3-5,24,3,6,3,1,0,0,5,0,2,0,0,2,0,0,3,21,11,2,0.25
4/7/2019,,Beloit College,W,6-4,25,6,8,5,1,1,0,3,0,2,0,0,1,0,0,2,21,11,2,0.32
4/7/2019,,Beloit,W,10-1,19,10,7,7,3,1,2,4,0,0,2,1,0,0,0,0,15,6,0,0.368
4/13/2019,vs,St. Norbert,L,5-9,29,5,9,2,0,0,0,0,0,0,1,0,1,0,0,1,18,4,0,0.31
4/13/2019,vs,St. Norbert,W,8-5,32,8,12,8,5,0,2,4,0,0,0,0,1,0,1,1,21,10,1,0.375
4/16/2019,at,Cornell College,W,5-4,29,5,8,5,3,0,0,3,0,3,0,0,1,0,0,5,21,9,1,0.276
4/16/2019,at,Cornell College,W,4-2,29,4,9,4,1,1,0,3,0,5,0,0,1,0,0,6,21,9,2,0.31
4/19/2019,at,Illinois College,L,1-9,17,1,2,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,4,0.118
4/19/2019,at,Illinois College,L,2-11,19,2,5,2,1,0,0,5,0,1,0,0,0,0,0,7,12,4,4,0.263
4/20/2019,,Knox,W,10-0,21,10,9,8,3,0,1,3,0,3,0,0,0,1,0,1,15,6,0,0.429
4/20/2019,,Knox,W,13-7,31,13,13,13,5,0,1,0,0,0,0,3,0,0,0,0,21,8,2,0.419
4/23/2019,at,Simpson,W,9-1,29,9,12,9,1,1,1,4,0,0,0,0,1,1,0,4,18,3,0,0.414
4/23/2019,at,Simpson,W,6-2,33,6,11,6,1,0,0,2,0,2,0,1,0,0,0,2,21,7,0,0.333
4/24/2019,,Monmouth (Ill.),W,6-1,30,6,12,6,2,0,1,3,1,0,0,0,0,0,0,2,21,7,0,0.4
4/24/2019,,Monmouth (Ill.),W,2-1,22,2,4,2,1,0,0,0,0,0,0,1,0,0,1,2,21,8,2,0.182
4/26/2019,vs,Ripon,W,6-4,30,6,7,6,3,0,2,3,0,4,0,0,0,0,0,5,21,6,2,0.233
4/26/2019,vs,Ripon,W,21-17,47,21,23,18,6,0,3,1,0,3,0,0,0,0,0,0,21,5,3,0.489
4/28/2019,at,Lawrence University,L,1-3,25,1,3,1,1,1,0,0,0,1,0,0,0,0,0,1,18,9,0,0.12
4/28/2019,at,Lawrence University,W,12-2,29,12,13,9,1,1,2,5,0,3,0,0,1,1,0,0,18,7,1,0.448
5/3/2019,vs,Lake Forest,L,3-7,28,3,8,0,2,0,0,0,0,0,0,1,0,0,0,5,18,6,0,0.286
5/3/2019,vs,Illinois College,W,1-0,26,1,8,1,2,0,0,3,0,1,0,1,1,1,0,6,21,10,0,0.308
5/4/2019,vs,St. Norbert,L,6-8,28,6,8,6,1,0,2,1,0,2,0,0,0,0,0,5,18,7,2,0.286
Total,,,,209-257,1073,209,330,180,66,12,24,102,6,60,9,13,17,10,2,149,749,324,64,
