#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
15.0,"Hartman, Christin 15 Hartman, Christin",19,3,16,0,1.0,0,2,2,0,0,View Bio
13.0,"Killion, Kyra 13 Killion, Kyra",15,14,1,0,1.0,0,1,1,0,0,View Bio
11.0,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",13,5,8,0,1.0,0,1,0,0,0,View Bio
8.0,"Bishop-Parise, Leila 8 Bishop-Parise, Leila",6,6,0,0,1.0,0,0,0,0,0,View Bio
19.0,"O'Bryan, Maddy 19 O'Bryan, Maddy",5,4,1,0,1.0,0,1,0,0,0,View Bio
22.0,"Webb, Mary 22 Webb, Mary",97,91,5,1,0.99,4,0,0,0,0,View Bio
5.0,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",57,50,6,1,0.982,0,3,1,4,0,View Bio
20.0,"Johnson, Flynn 20 Johnson, Flynn",31,29,1,1,0.968,0,0,0,0,0,View Bio
10.0,"Ramirez, Amanda 10 Ramirez, Amanda",57,25,30,2,0.965,3,1,0,0,0,View Bio
26.0,"Anson, Kambria 26 Anson, Kambria",30,26,2,2,0.933,0,0,0,0,0,View Bio
34.0,"DiGiacomo-Zahller, Emma 34 DiGiacomo-Zahller, Emma",43,17,23,3,0.93,2,0,0,0,0,View Bio
2.0,"Okada, Alexa 2 Okada, Alexa",39,20,16,3,0.923,2,0,0,0,0,View Bio
23.0,"Durak, Taylor 23 Durak, Taylor",18,11,5,2,0.889,1,1,0,0,0,View Bio
88.0,"Chu, Samantha 88 Chu, Samantha",18,4,12,2,0.889,0,0,0,0,0,View Bio
12.0,"Nelson, Emma 12 Nelson, Emma",14,12,0,2,0.857,0,0,0,0,0,View Bio
,Totals,462,317,126,19,0.959,12,10,4,4,0,
,Opponents,451,314,116,21,0.953,11,38,8,2,0,
