Date,Loc,Opponent,W/L,Score,AB,R,H,RBI,2B,3B,HR,BB,IBB,SB,CS,HBP,SH,SF,GDP,K,PO,A,E,AVG
2/26/2022,vs,St. Olaf College,W,7-6,32,7,10,7,5,0,0,7,0,4,0,0,0,0,0,9,21,12,0,0.313
2/26/2022,vs,St Catherine Univ,L,2-13,23,2,7,2,3,0,0,2,0,0,1,0,0,0,0,6,18,11,3,0.304
2/27/2022,vs,St Catherine Univ,L,0-8,19,0,3,0,0,0,0,1,0,0,1,0,1,0,0,12,16,13,2,0.158
2/27/2022,vs,Luther College,L,2-5,27,2,6,1,1,1,0,1,0,0,0,0,1,0,0,5,21,11,0,0.222
3/20/2022,vs,Middlebury,L,0-8,19,0,0,0,0,0,0,2,0,1,0,1,0,0,0,5,13,5,1,0.0
3/20/2022,vs,Tufts,L,0-7,23,0,3,0,1,0,0,4,0,0,0,0,0,0,0,6,21,12,2,0.13
3/21/2022,vs,MIT,L,0-7,22,0,3,0,1,1,0,1,0,0,1,2,1,0,0,12,21,11,0,0.136
3/21/2022,vs,UW-Oshkosh,L,5-8,25,5,5,5,0,0,0,1,0,0,0,0,0,1,0,7,18,9,2,0.2
3/22/2022,vs,Colby,W,6-5,30,6,8,5,2,1,0,2,0,0,0,0,1,0,0,5,21,9,3,0.267
3/22/2022,vs,St. Ambrose,L,3-11,21,3,8,3,1,0,0,5,0,0,0,0,1,0,0,6,15,7,1,0.381
3/23/2022,vs,Wis.-Eau Claire,W,7-4,29,7,7,7,0,0,0,6,0,1,0,1,2,0,0,3,21,10,1,0.241
3/25/2022,vs,Trinity (Conn.),W,5-4,28,5,7,5,0,1,1,3,0,0,0,1,0,0,0,4,21,8,1,0.25
3/25/2022,vs,St. Olaf College,W,9-8,35,9,10,9,3,0,0,8,0,0,0,0,2,0,0,10,24,2,4,0.286
4/2/2022,at,Monmouth (Ill.),W,7-3,34,7,9,5,2,0,0,2,0,3,0,1,0,1,0,10,18,6,1,0.265
4/2/2022,at,Monmouth (Ill.),L,6-7,36,6,14,6,3,3,0,3,0,0,0,2,0,0,0,1,20,7,3,0.389
4/3/2022,,Knox,W,9-1,27,9,15,8,3,0,0,0,0,0,1,1,0,0,0,2,15,5,1,0.556
4/3/2022,,Knox,W,9-1,22,9,8,7,2,2,0,2,0,0,0,2,0,3,0,0,18,7,1,0.364
4/9/2022,,Wis.-Stevens Point,L,1-5,25,1,5,1,1,0,0,2,0,0,0,0,2,0,0,7,21,10,1,0.2
4/9/2022,,Wis.-Stevens Point,L,6-10,36,6,10,4,1,0,0,7,1,0,0,2,1,0,0,10,27,18,1,0.278
4/12/2022,at,Coe College,W,3-2,31,3,5,3,0,0,0,1,0,0,0,1,0,0,0,3,21,9,0,0.161
4/12/2022,at,Coe College,L,1-5,25,1,5,0,2,0,0,0,0,0,0,0,1,0,0,3,18,6,1,0.2
4/15/2022,at,Lake Forest,L,3-10,26,3,7,3,2,0,0,1,0,0,0,0,0,1,0,2,18,10,1,0.269
4/15/2022,at,Lake Forest,L,3-11,23,3,7,3,1,0,0,2,0,0,0,0,0,0,0,2,12,5,1,0.304
4/16/2022,at,Beloit,W,13-4,36,13,20,12,4,0,1,1,0,1,1,1,3,1,1,3,21,8,1,0.556
4/16/2022,at,Beloit,W,9-4,35,9,13,9,4,0,0,2,0,1,0,0,1,0,0,3,21,10,1,0.371
4/23/2022,,Lawrence,W,9-1,24,9,8,8,2,0,1,4,0,1,0,2,0,1,0,1,18,9,0,0.333
4/23/2022,,Lawrence,W,8-0,25,8,11,7,3,0,0,2,0,1,0,2,0,0,0,2,15,7,0,0.44
4/24/2022,,Ripon,W,11-3,26,11,10,10,2,0,2,2,0,4,0,1,1,0,0,5,18,4,1,0.385
4/24/2022,,Ripon,W,6-5,34,6,11,5,1,1,0,4,0,1,0,0,1,1,0,3,27,11,2,0.324
4/28/2022,,Central (IA),L,0-9,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,15,11,2,0.059
4/28/2022,,Central (IA),L,3-9,26,3,7,2,1,0,0,4,0,0,0,1,1,0,1,2,21,13,3,0.269
4/30/2022,at,Cornell College,W,5-2,28,5,8,5,2,0,0,4,0,1,0,1,1,1,0,3,21,8,1,0.286
4/30/2022,at,Cornell College,W,10-5,35,10,14,9,5,1,0,4,0,1,0,1,0,0,1,4,21,11,0,0.4
5/1/2022,,Illinois Col.,W,8-7,28,8,9,7,1,0,1,1,0,1,0,1,1,1,0,8,21,9,2,0.321
5/1/2022,,Illinois Col.,L,7-11,35,7,13,6,2,0,1,3,0,1,0,1,0,0,0,12,21,11,0,0.371
5/7/2022,vs,Illinois Col.,L,6-10,29,6,7,5,1,0,2,5,0,2,0,0,1,0,0,8,18,12,1,0.241
5/7/2022,vs,Monmouth (Ill.),W,10-4,38,10,18,9,4,1,3,2,0,2,0,0,0,0,0,3,21,8,4,0.474
5/8/2022,at,Lake Forest,W,9-1,28,9,10,8,4,0,1,2,0,2,0,1,0,0,0,1,15,5,0,0.357
5/8/2022,vs,Illinois Col.,L,4-6,29,4,10,4,1,0,0,1,0,0,0,1,1,1,0,7,18,10,0,0.345
Total,,,,212-230,1091,212,332,190,71,12,13,105,1,28,5,27,24,12,3,200,751,350,49,
