Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/4/2023,vs,North Central (MN),W,11-1,5.0,2,1,1,0,8,0,0,0,0,0,0,0,1,0,0,1.4
3/4/2023,vs,Macalester College,W,7-1,7.0,4,1,0,1,7,0,0,0,0,0,0,0,2,0,0,0.0
3/5/2023,vs,Wis.-Eau Claire,L,2-16,5.0,16,16,13,5,6,7,0,0,2,0,1,0,2,1,0,18.2
3/5/2023,vs,Luther,L,1-12,4.0,11,12,10,3,1,4,0,1,0,0,2,0,2,2,0,17.5
3/19/2023,vs,Bates,W,7-1,7.0,7,1,1,4,5,1,1,0,0,0,1,0,3,2,0,1.0
3/19/2023,vs,St. Lawrence,W,3-2,7.0,6,2,2,2,7,1,0,0,0,0,0,0,4,2,0,2.0
3/20/2023,vs,Oberlin,W,11-7,7.0,13,7,5,2,1,1,1,0,0,0,0,0,5,2,1,5.0
3/20/2023,vs,Old Westbury,W,9-1,5.0,4,1,1,1,4,0,0,0,0,0,0,0,6,2,0,1.4
3/21/2023,vs,Wis.-Eau Claire,L,3-5,7.0,10,5,4,2,7,1,0,0,0,0,0,0,6,3,0,4.0
3/21/2023,vs,Colby,W,5-3,7.0,8,3,3,2,3,1,0,0,1,0,0,0,7,3,0,3.0
3/23/2023,vs,St. Olaf,L,3-5,7.0,10,5,5,2,2,3,0,1,0,0,0,0,7,4,0,5.0
3/23/2023,vs,Wis.-Whitewater,L,2-4,6.0,7,4,3,1,1,0,1,0,0,0,0,0,7,5,0,3.5
3/24/2023,at,Middlebury,W,8-0,6.0,1,0,0,2,4,1,0,0,1,0,1,0,8,5,0,0.0
3/24/2023,vs,Buffalo State,W,7-1,7.0,7,1,0,0,2,0,0,0,0,0,0,0,9,5,0,0.0
3/28/2023,at,Central College,L,1-15,4.0,17,15,11,1,1,5,1,0,0,0,0,0,9,6,0,19.25
3/28/2023,at,Central College,L,5-6,6.0,9,6,6,3,3,2,0,0,0,0,1,0,9,7,0,7.0
4/1/2023,,Monmouth (Ill.),W,8-0,6.0,3,0,0,3,7,0,0,0,0,0,0,0,10,7,0,0.0
4/1/2023,,Monmouth (Ill.),W,8-0,5.0,2,0,0,1,1,0,0,0,0,0,0,0,11,7,0,0.0
4/2/2023,at,Knox,W,9-0,6.0,5,0,0,4,2,0,0,0,0,0,0,0,12,7,0,0.0
4/2/2023,at,Knox,W,12-2,5.0,6,2,2,0,2,0,0,1,0,0,1,0,13,7,0,2.8
4/5/2023,at,Simpson,L,2-3,6.0,7,3,3,0,3,1,0,1,0,0,0,0,13,8,0,3.5
4/5/2023,at,Simpson,W,10-8,7.0,15,8,8,3,2,1,0,4,2,0,1,0,14,8,0,8.0
4/11/2023,at,Graceland (IA),L,0-4,6.0,5,4,4,0,4,1,0,0,0,0,2,0,14,9,0,4.67
4/11/2023,at,Graceland (IA),L,0-3,6.0,8,3,3,0,4,1,0,0,0,0,3,0,14,10,0,3.5
4/15/2023,,Lake Forest,W,7-6,7.0,11,6,6,1,2,2,0,2,2,0,1,0,15,10,0,6.0
4/15/2023,,Lake Forest,W,3-0,7.0,2,0,0,1,3,2,0,0,0,0,0,0,16,10,0,0.0
4/22/2023,at,Lawrence University,W,9-0,7.0,5,0,0,0,5,0,0,0,0,0,0,0,17,10,0,0.0
4/22/2023,at,Lawrence University,W,3-0,7.0,5,0,0,3,1,0,0,0,1,0,0,0,18,10,1,0.0
4/23/2023,,Beloit,W,8-0,5.0,5,0,0,0,3,1,0,0,0,0,0,0,19,10,0,0.0
4/23/2023,,Beloit,W,12-4,6.0,8,4,2,1,6,1,0,1,0,0,1,0,20,10,0,2.33
4/25/2023,,Coe,L,2-9,7.0,9,9,9,4,3,2,0,1,3,0,0,0,20,11,0,9.0
4/25/2023,,Coe,W,5-2,7.0,8,2,1,1,4,1,0,1,0,0,0,0,21,11,0,1.0
4/29/2023,,Cornell College,W,5-3,7.0,8,3,2,1,5,2,0,0,0,0,1,0,22,11,0,2.0
4/29/2023,,Cornell College,W,20-3,5.0,8,3,3,1,2,0,0,0,2,0,1,0,23,11,0,4.2
4/30/2023,at,Illinois Col.,L,0-6,6.0,11,6,5,0,3,4,0,0,0,0,0,0,23,12,0,5.83
4/30/2023,at,Illinois Col.,W,5-1,7.0,5,1,1,2,6,1,0,0,1,0,0,0,24,12,0,1.0
5/6/2023,at,Ripon,W,9-1,5.0,9,1,1,1,5,2,0,0,0,0,0,0,25,12,0,1.4
5/6/2023,at,Ripon,W,9-0,5.0,5,0,0,1,5,1,0,0,0,0,0,0,26,12,0,0.0
5/12/2023,vs,Lake Forest,W,6-0,7.0,6,0,0,2,4,1,0,0,1,0,0,0,27,12,0,0.0
5/12/2023,,Illinois Col.,W,11-2,5.0,3,2,2,0,1,0,1,0,0,0,1,0,28,12,0,2.8
5/13/2023,,Illinois Col.,W,5-4,8.0,8,4,2,4,4,2,0,0,0,0,1,0,29,12,0,1.75
5/18/2023,at,Central College,L,2-3,6.0,4,3,2,3,3,1,0,0,2,0,0,0,29,13,0,2.33
5/19/2023,,Wis.-La Crosse,W,6-4,7.0,8,4,4,5,3,3,0,0,1,0,0,0,30,13,0,4.0
5/19/2023,,Central College,L,1-2,7.0,10,2,2,2,4,0,0,0,0,0,0,0,30,14,0,2.0
Total,,,,262-150,272.0,321,150,127,75,159,57,5,13,19,0,19,0,30,14,2,
