Singles,Overall,1,2,3,4,5,6,Streak,Last 10,vs Ranked,vs Ranked
Singles,Overall,1,2,3,4,5,6,Streak,Last 10,Nat'l,Reg'l
"Bolanos, Sofia",1-0,—,—,—,—,1-0,—,W 1,1-0,0-0,0-0
"Ergun, Nehir",3-0,—,—,—,3-0,—,—,W 3,3-0,0-0,0-0
"Healy, Keira",2-0,—,—,1-0,—,1-0,—,W 2,2-0,0-0,0-0
"Jarvis, Erin",0-1,—,0-1,—,—,—,—,L 1,0-1,0-0,0-0
"Kalra, Utsah",4-0,3-0,—,1-0,—,—,—,W 4,4-0,0-0,0-0
"Marin, Sydney",2-0,—,—,1-0,—,—,1-0,W 2,2-0,0-0,0-0
"Martin, Kalea",3-0,—,—,2-0,—,1-0,—,W 3,3-0,0-0,0-0
"Mukherjee, Tan",2-1,—,2-1,—,—,—,—,L 1,2-1,0-0,0-0
"Perkins, Nina",4-0,—,—,—,—,—,4-0,W 4,4-0,0-0,0-0
"Perrin, Lily",3-0,2-0,—,—,1-0,—,—,W 3,3-0,0-0,0-0
"Persian, Addie",4-0,—,—,—,1-0,2-0,1-0,W 4,4-0,0-0,0-0
"Sargent, Paige",0-1,0-1,—,—,—,—,—,L 1,0-1,0-0,0-0
"Surpless, Kayla",2-0,—,2-0,—,—,—,—,W 2,2-0,0-0,0-0
"Trapp, Alyssa",3-0,—,—,1-0,1-0,1-0,—,W 3,3-0,0-0,0-0
Total,33-3,5-1,4-2,6-0,6-0,6-0,6-0,—,—,0-0,0-0
Percentage,.917,.833,.667,1.000,1.000,1.000,1.000,—,—,.000,.000
