Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Young, Jordan",,11.20m,"36' 9""",Dubuque Spartan Open,"Feb 19, 2011"
,"Huey, Megan",,11.03m,"36' 2.25""",MidWest Conference Championship,"Feb 25, 2011"
,"Young, Jordan",,11.00m,"36' 1.25""",Dubuque Spartan Open,"Feb 19, 2011"
,"Huey, Megan",,10.96m,"35' 11.5""",MidWest Conference Championship,"Feb 25, 2011"
,"Young, Jordan",,10.92m,"35' 10""",Dubuque Spartan Open,"Feb 19, 2011"
,"Young, Jordan",,10.86m,"35' 7.75""",Dubuque Spartan Open,"Feb 19, 2011"
,"Young, Jordan",,10.82m,"35' 6""",Dubuque Spartan Open,"Feb 19, 2011"
,"Young, Jordan",,10.79m,"35' 5""",MidWest Conference Championship,"Feb 25, 2011"
,"Young, Jordan",,10.79m,"35' 5""",MidWest Conference Championship,"Feb 25, 2011"
,"Young, Jordan",,10.78m,"35' 4.5""",Dubuque Spartan Open,"Feb 19, 2011"
,"Young, Jordan",,10.11m,"33' 2""",Darren Young Classic,"Feb 11, 2011"
,"Miller, Isabelle",,9.16m,"30' 0.75""",Darren Young Pentathlons,"Feb 11, 2011"
,"Miller, Isabelle",,9.07m,"29' 9.25""",Hilltop Invitational,"Feb 5, 2011"
,"Sipfle, Nicole",,8.34m,"27' 4.5""",MidWest Conference Championship,"Feb 25, 2011"
,"Sipfle, Nicole",,8.06m,"26' 5.5""",Darren Young Classic,"Feb 11, 2011"
,"Kubicek, Heather",,7.88m,"25' 10.25""",Darren Young Classic,"Feb 11, 2011"
,"Sipfle, Nicole",,7.30m,"23' 11.5""",Dubuque Spartan Open,"Feb 19, 2011"
,"Kubicek, Heather",,7.27m,"23' 10.25""",Dubuque Spartan Open,"Feb 19, 2011"
,"Kubicek, Heather",,7.21m,"23' 8""",Hilltop Invitational,"Feb 5, 2011"
,"Sipfle, Nicole",,7.17m,"23' 6.25""",Dubuque Spartan Open,"Feb 19, 2011"
,"Sipfle, Nicole",,7.12m,"23' 4.5""",Hilltop Invitational,"Feb 5, 2011"
,"Kubicek, Heather",,6.94m,"22' 9.25""",Dubuque Spartan Open,"Feb 19, 2011"
,"Sipfle, Nicole",,6.90m,"22' 7.75""",Dubuque Spartan Open,"Feb 19, 2011"
,"Kubicek, Heather",,6.61m,"21' 8.25""",Dubuque Spartan Open,"Feb 19, 2011"
,"Baranshamaje, Nadine",SR-4,5.84m,"19' 2""",Dubuque Spartan Open,"Feb 19, 2011"
,"Baranshamaje, Nadine",SR-4,5.67m,"18' 7.25""",Dubuque Spartan Open,"Feb 19, 2011"
