Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Clennon, Emily",SO-2,27.55,Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Clennon, Emily",SO-2,28.3,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Ajinjeru, Christine",SO-2,28.53,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Pinnette, Ellen",FR-1,30.11,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Graber, Sachi",SR-4,30.15,Darren Young Classic,"Feb 11, 2012",0.0
,"Vertilo, Victoria",SR-4,30.39,Wartburg Invitational,"Feb 18, 2012",0.0
,"Graber, Sachi",SR-4,30.42,Wartburg Invitational,"Feb 18, 2012",0.0
,"Toomey, Bridget",SO-2,30.91,Darren Young Classic,"Feb 11, 2012",0.0
,"Vertilo, Victoria",SR-4,31.38,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Zucker, Kelly",JR-3,31.83,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Silverman, Elle",FR-1,32.87,Midwest Conference Indoor T&F Championships,"Feb 24, 2012",0.0
,"Hasan, Nadia",JR-3,33.08,2012 Hilltop Invite,"Feb 4, 2012",0.0
,"Nahib, Nilob",JR-3,33.25,Wartburg Invitational,"Feb 18, 2012",0.0
,"Toomey, Bridget",SO-2,34.16,Wartburg Invitational,"Feb 18, 2012",0.0
