Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Huey, Megan",,12.05m,"39' 6.5""",Midwest Conference Championship,"May 13, 2011"
,"Huey, Megan",,12.05m,"39' 6.5""",Midwest Conference Championship,"May 13, 2011"
,"Huey, Megan",,12.02m,"39' 5.25""",Dick Young Classic,"Apr 23, 2011"
,"Young, Jordan",,11.83m,"38' 9.75""",Dick Young Classic,"Apr 23, 2011"
,"Young, Jordan",,11.83m,"38' 9.75""",Dick Young Classic,"Apr 23, 2011"
,"Young, Jordan",,11.78m,"38' 7.75""",Midwest Conference Championship,"May 13, 2011"
,"Young, Jordan",,11.78m,"38' 7.75""",Midwest Conference Championship,"May 13, 2011"
,"Huey, Megan",,11.76m,"38' 7""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Huey, Megan",,11.63m,"38' 2""",Monmouth Scots Invite,"May 7, 2011"
,"Huey, Megan",,11.47m,"37' 7.75""",Dick Young Classic,"Apr 23, 2011"
,"Young, Jordan",,11.45m,"37' 6.75""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Huey, Megan",,11.43m,"37' 6""",Kip Janvrin Open,"Apr 28, 2011"
,"Huey, Megan",,11.43m,"37' 6""",Monmouth Scots Invite,"May 7, 2011"
,"Huey, Megan",,11.33m,"37' 2.25""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Huey, Megan",,11.24m,"36' 10.5""",Kip Janvrin Open,"Apr 28, 2011"
,"Young, Jordan",,11.20m,"36' 9""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Huey, Megan",,11.04m,"36' 2.75""",Cornell Invitational,"Apr 9, 2011"
,"Huey, Megan",,11.04m,"36' 2.75""",Cornell Invitational,"Apr 9, 2011"
,"Young, Jordan",,10.99m,"36' 0.75""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Young, Jordan",,10.84m,"35' 6.75""",Kip Janvrin Open,"Apr 28, 2011"
,"Young, Jordan",,10.75m,"35' 3.25""",Cornell Invitational,"Apr 9, 2011"
,"Huey, Megan",,10.71m,"35' 1.75""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Young, Jordan",,10.50m,"34' 5.5""",Kip Janvrin Open,"Apr 28, 2011"
,"Young, Jordan",,10.33m,"33' 10.75""",Kip Janvrin Open,"Apr 28, 2011"
,"Huey, Megan",,10.28m,"33' 8.75""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Young, Jordan",,10.09m,"33' 1.25""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Young, Jordan",,10.03m,"32' 11""",2011 Jim Duncan Invitational,"Apr 15, 2011"
,"Kubicek, Heather",,9.75m,"32' 0""",Point Loma Collegiate Scoring Meet,"Mar 26, 2011"
,"Kubicek, Heather",,8.95m,"29' 4.5""",Dick Young Classic,"Apr 23, 2011"
,"Kubicek, Heather",,8.79m,"28' 10.25""",Kip Janvrin Open,"Apr 28, 2011"
,"Kubicek, Heather",,8.56m,"28' 1""",Monmouth Scots Invite,"May 7, 2011"
,"Kubicek, Heather",,8.53m,"28' 0""",Monmouth Scots Invite,"May 7, 2011"
,"Kubicek, Heather",,8.48m,"27' 10""",Cornell Invitational,"Apr 9, 2011"
,"Kubicek, Heather",,8.40m,"27' 6.75""",Midwest Conference Championship,"May 13, 2011"
,"Kubicek, Heather",,8.38m,"27' 6""",Monmouth Scots Invite,"May 7, 2011"
,"Baranshamaje, Nadine",SR-4,7.30m,"23' 11.5""",Monmouth Scots Invite,"May 7, 2011"
,"Baranshamaje, Nadine",SR-4,6.84m,"22' 5.25""",Monmouth Scots Invite,"May 7, 2011"
,"Baranshamaje, Nadine",SR-4,6.75m,"22' 1.75""",Dick Young Classic,"Apr 23, 2011"
,"Baranshamaje, Nadine",SR-4,6.55m,"21' 6""",Monmouth Scots Invite,"May 7, 2011"
,"Baranshamaje, Nadine",SR-4,6.14m,"20' 1.75""",Cornell Invitational,"Apr 9, 2011"
