Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"McConnell, Samantha",JR-3,2.60m,"8' 6.25""",2016 Hilltop Invitational,"Jan 30, 2016"
,"McConnell, Samantha",SO-2,2.59m,"8' 6""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"McConnell, Samantha",JR-3,2.45m,"8' 0.5""",Grinnell Indoor Invitational,"Feb 6, 2016"
,"McConnell, Samantha",JR-3,2.45m,"8' 0.5""",2016 Hilltop Invitational,"Jan 30, 2016"
,"McConnell, Samantha",SO-2,2.44m,"8' 0""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"McConnell, Samantha",SO-2,2.37m,"7' 9.25""",Wartburg Indoor Invite,"Feb 20, 2016"
,"McConnell, Samantha",JR-3,2.30m,"7' 6.5""",2016 Hilltop Invitational,"Jan 30, 2016"
,"McConnell, Samantha",SO-2,2.30m,"7' 6.5""",Grinnell Darren Young Indoor Classic,"Feb 13, 2016"
,"McConnell, Samantha",SO-2,2.29m,"7' 6""",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,"McConnell, Samantha",SO-2,2.22m,"7' 3.25""",Wartburg Indoor Invite,"Feb 20, 2016"
,"McConnell, Samantha",JR-3,2.15m,"7' 0.5""",2016 Hilltop Invitational,"Jan 30, 2016"
