Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Carpenter, Becca",JR-3,13.72,2015 Cornell Outdoor Invite,"Apr 4, 2015",1.7
,"Carpenter, Becca",JR-3,13.92,2015 Jim Duncan Invitational,"Apr 10, 2015",-2.3
,"Williams, Alexus",SO-2,14.15,2015 Cornell Outdoor Invite,"Apr 4, 2015",1.7
,"Schmiechen, Alex",JR-3,14.19,MWC Conference Championships,"May 8, 2015",0.3
,"Goldman, Elsa",JR-3,14.4,2015 Kip Janvrin Open,"Apr 23, 2015",-0.7
,"Goldman, Elsa",JR-3,14.44,MWC Conference Championships,"May 8, 2015",0.8
,"Schmiechen, Alex",JR-3,14.72,2015 Cornell Outdoor Invite,"Apr 4, 2015",1.7
,"Schmiechen, Alex",JR-3,14.85,Emory Classic,"Mar 27, 2015",-3.0
,"Peckham, Carolyn",SO-2,15.15,Monmouth fighting Scots Outdoor-,"May 2, 2015",0.6
,"Hanley, Elinor",FR-1,15.26,MWC Conference Championships,"May 8, 2015",0.8
,"Hanley, Elinor",FR-1,15.37,Monmouth fighting Scots Outdoor-,"May 2, 2015",0.6
,"Hanley, Elinor",FR-1,15.45,2015 Kip Janvrin Open,"Apr 23, 2015",-0.4
,"Hanley, Elinor",FR-1,15.76,2015 Cornell Outdoor Invite,"Apr 4, 2015",1.7
