Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Martin, Yolana",SO-2,28.95,Midwest Conference Indoor Championships,"Feb 23, 2018",0.0
,"Villa, Rebecca",FR-1,29.21,Wartburg Indoor Invitational,"Feb 17, 2018",0.0
,"Martin, Yolana",SO-2,29.3,Wartburg Indoor Invitational,"Feb 17, 2018",0.0
,"Villa, Rebecca",SO-2,29.38,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Nguyen, Lynn",SO-2,29.5,Midwest Conference Indoor Championships,"Feb 23, 2018",0.0
,"Martin, Yolana",SO-2,29.52,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Nguyen, Lynn",SO-2,29.58,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Martin, Yolana",SO-2,29.75,2018 Grinnell Indoor Invitational,"Feb 3, 2018",0.0
,"Nguyen, Lynn",SO-2,29.76,2018 Grinnell Indoor Invitational,"Feb 3, 2018",0.0
,"Bresnahan, Cara",JR-3,29.82,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Holtzman, Gwen",JR-3,30.42,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Bresnahan, Cara",JR-3,30.47,2018 Hilltop Invitational,"Jan 27, 2018",0.0
,"Martin, Yolana",SO-2,30.72,2018 Hilltop Invitational,"Jan 27, 2018",0.0
,"Soderberg, Midori",FR-1,30.88,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Soderberg, Midori",FR-1,31.24,2018 Hilltop Invitational,"Jan 27, 2018",0.0
,"Tombou, Kadiata",JR-3,32.14,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Tombou, Kadiata",JR-3,32.31,Wartburg Indoor Invitational,"Feb 17, 2018",0.0
,"Tombou, Kadiata",JR-3,32.8,2018 Grinnell Indoor Invitational,"Feb 3, 2018",0.0
,"Christel, Megan",SO-2,33.81,Midwest Conference Indoor Championships,"Feb 23, 2018",0.0
,"Riley, Meghan",JR-3,34.96,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
,"Sloniewky, Julia",SO-2,35.21,2018 Grinnell Indoor Invitational,"Feb 3, 2018",0.0
,"Sloniewky, Julia",SO-2,35.84,2018 Darren Young Indoor Classic,"Feb 10, 2018",0.0
