Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Lukoseviciute, Agne",SO-2,11.93m,"39' 1.75""",Wartburg Indoor Invite,"Feb 16, 2019"
,"Lukoseviciute, Agne",SO-2,11.90m,"39' 0.5""",Wartburg Indoor Invite,"Feb 16, 2019"
,"Lukoseviciute, Agne",SO-2,11.79m,"38' 8.25""",2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Lukoseviciute, Agne",SO-2,11.71m,"38' 5""",Wartburg Indoor Invite,"Feb 16, 2019"
,"Lukoseviciute, Agne",SO-2,11.71m,"38' 5""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Lukoseviciute, Agne",SO-2,11.60m,"38' 0.75""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Lukoseviciute, Agne",SO-2,11.25m,"36' 11""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,11.18m,"36' 8.25""",Wartburg Indoor Invite,"Feb 16, 2019"
,"Lukoseviciute, Agne",SO-2,11.11m,"36' 5.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,11.01m,"36' 1.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,10.89m,"35' 8.75""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,10.82m,"35' 6""",Luther Alumni Meet,"Feb 2, 2019"
,"Lukoseviciute, Agne",SO-2,10.82m,"35' 6""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,10.80m,"35' 5.25""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,10.45m,"34' 3.5""",Luther Alumni Meet,"Feb 2, 2019"
,"Lukoseviciute, Agne",SO-2,10.45m,"34' 3.5""",Hilltop Invitational,"Jan 19, 2019"
,"Lukoseviciute, Agne",SO-2,10.06m,"33' 0.25""",Luther Alumni Meet,"Feb 2, 2019"
,"Lukoseviciute, Agne",SO-2,9.93m,"32' 7""",Hilltop Invitational,"Jan 19, 2019"
,"Lukoseviciute, Agne",SO-2,9.73m,"31' 11.25""",Hilltop Invitational,"Jan 19, 2019"
