Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Lukoseviciute, Agne",JR-3,18.37m,"60' 3.25""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Lukoseviciute, Agne",JR-3,18.11m,"59' 5""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Lukoseviciute, Agne",JR-3,17.61m,"57' 9.5""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Lukoseviciute, Agne",JR-3,17.60m,"57' 9""",Darren Young Classic,"Feb 15, 2020"
,"Lukoseviciute, Agne",JR-3,17.39m,"57' 0.75""",Hilltop Invitational,"Jan 25, 2020"
,"Lukoseviciute, Agne",JR-3,17.36m,"56' 11.5""",Hilltop Invitational,"Jan 25, 2020"
,"Lukoseviciute, Agne",JR-3,17.28m,"56' 8.5""",Darren Young Classic,"Feb 15, 2020"
,"Lukoseviciute, Agne",JR-3,17.19m,"56' 4.75""",Hilltop Invitational,"Jan 25, 2020"
,"Lukoseviciute, Agne",JR-3,17.17m,"56' 4""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Lukoseviciute, Agne",JR-3,17.14m,"56' 3""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Lukoseviciute, Agne",JR-3,16.93m,"55' 6.5""",Hilltop Invitational,"Jan 25, 2020"
,"Lukoseviciute, Agne",JR-3,16.92m,"55' 6.25""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Lukoseviciute, Agne",JR-3,15.72m,"51' 7""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Lukoseviciute, Agne",JR-3,15.42m,"50' 7.25""",Hilltop Invitational,"Jan 25, 2020"
,"Filkins, Andrea",FR-1,9.29m,"30' 5.75""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Filkins, Andrea",FR-1,8.58m,"28' 1.75""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Berhane, Arsema",SO-2,7.31m,"23' 11.75""",Darren Young Classic,"Feb 15, 2020"
,"Berhane, Arsema",SO-2,7.11m,"23' 4""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Berhane, Arsema",SO-2,6.79m,"22' 3.5""",Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Berhane, Arsema",SO-2,6.37m,"20' 10.75""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Berhane, Arsema",SO-2,5.52m,"18' 1.5""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Gonzales, Chloe",FR-1,5.20m,"17' 0.75""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Gonzales, Chloe",FR-1,4.48m,"14' 8.5""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
