Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Filkins, Andrea",JR-3,39.09m,"128' 3""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Filkins, Andrea",JR-3,38.13m,"125' 1""",Midwest Conference Outdoor Championships,"May 12, 2023"
,"Filkins, Andrea",JR-3,37.98m,"124' 7""",Dick Young Classic,"Apr 22, 2023"
,"Filkins, Andrea",JR-3,36.24m,"118' 11""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Strovers, Maddy",FR-1,36.21m,"118' 9""",Midwest Conference Outdoor Championships,"May 12, 2023"
,"Filkins, Andrea",JR-3,35.72m,"117' 2""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Strovers, Maddy",FR-1,35.61m,"116' 10""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Filkins, Andrea",JR-3,34.85m,"114' 4""",Dick Young Classic,"Apr 22, 2023"
,"Strovers, Maddy",FR-1,33.96m,"111' 5""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Strovers, Maddy",FR-1,33.84m,"111' 0""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Galowitz, Kylie",FR-1,33.39m,"109' 6""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Galowitz, Kylie",FR-1,32.90m,"107' 11""",Midwest Conference Outdoor Championships,"May 12, 2023"
,"Galowitz, Kylie",FR-1,32.78m,"107' 6""",Dick Young Classic,"Apr 22, 2023"
,"Galowitz, Kylie",FR-1,32.66m,"107' 2""",Dick Young Classic,"Apr 22, 2023"
,"Galowitz, Kylie",FR-1,32.43m,"106' 5""",Dick Young Classic,"Apr 22, 2023"
,"Galowitz, Kylie",FR-1,32.13m,"105' 5""",Mustang Open,"Apr 1, 2023"
,"Galowitz, Kylie",FR-1,32.04m,"105' 1""",Dick Young Classic,"Apr 22, 2023"
,"Galowitz, Kylie",FR-1,31.87m,"104' 7""",D3 Challenge,"Mar 25, 2023"
,"Galowitz, Kylie",FR-1,31.70m,"104' 0""",Dick Young Classic,"Apr 22, 2023"
,"Galowitz, Kylie",FR-1,31.67m,"103' 11""",2023 Kip Janvrin Open,"Apr 27, 2023"
,"Strovers, Maddy",FR-1,31.57m,"103' 7""",Midwest Conference Outdoor Championships,"May 12, 2023"
,"Strovers, Maddy",FR-1,31.55m,"103' 6""",Dick Young Classic,"Apr 22, 2023"
,"Strovers, Maddy",FR-1,31.54m,"103' 6""",Monmouth College Fighting Scot Outdoor,"May 6, 2023"
,"Galowitz, Kylie",FR-1,31.50m,"103' 4""",2023 Kip Janvrin Open,"Apr 27, 2023"
,"Filkins, Andrea",JR-3,31.38m,"102' 11""",2023 Kip Janvrin Open,"Apr 27, 2023"
,"Strovers, Maddy",FR-1,30.44m,"99' 10""",Dick Young Classic,"Apr 22, 2023"
,"Galowitz, Kylie",FR-1,30.34m,"99' 6""",Dick Young Classic,"Apr 22, 2023"
,"Galowitz, Kylie",FR-1,30.32m,"99' 6""",Mustang Open,"Apr 1, 2023"
,"Galowitz, Kylie",FR-1,29.61m,"97' 2""",D3 Challenge,"Mar 25, 2023"
,"Strovers, Maddy",FR-1,29.38m,"96' 5""",2023 Kip Janvrin Open,"Apr 27, 2023"
,"Strovers, Maddy",FR-1,27.95m,"91' 8""",Dick Young Classic,"Apr 22, 2023"
,"Strovers, Maddy",FR-1,26.81m,"87' 11""",2023 Kip Janvrin Open,"Apr 27, 2023"
,"Strovers, Maddy",FR-1,26.56m,"87' 2""",Dick Young Classic,"Apr 22, 2023"
,"Strovers, Maddy",FR-1,23.50m,"77' 1""",2023 Kip Janvrin Open,"Apr 27, 2023"
,"Strovers, Maddy",FR-1,22.30m,"73' 2""",Mustang Open,"Apr 1, 2023"
