Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Galowitz, Kylie",SO-2,11.39m,"37' 4.5""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,11.13m,"36' 6.25""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,11.04m,"36' 2.75""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,10.64m,"34' 11""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,10.62m,"34' 10.25""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,10.59m,"34' 9""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,10.58m,"34' 8.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,10.40m,"34' 1.5""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,10.31m,"33' 10""",Hilltop Invitational,"Jan 20, 2024"
,"Galowitz, Kylie",SO-2,10.27m,"33' 8.5""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,10.23m,"33' 6.75""",Liz Wuertz Indoor Meet,"Feb 17, 2024"
,"Galowitz, Kylie",SO-2,10.18m,"33' 4.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,10.15m,"33' 3.75""",Grinnell Invitational,"Jan 27, 2024"
,"Galowitz, Kylie",SO-2,9.81m,"32' 2.25""",Hilltop Invitational,"Jan 20, 2024"
,"Galowitz, Kylie",SO-2,9.80m,"32' 2""",Darren Young Classic,"Feb 10, 2024"
,"Galowitz, Kylie",SO-2,9.77m,"32' 0.75""",Midwest Conference Indoor Championships,"Feb 23, 2024"
,"Galowitz, Kylie",SO-2,9.67m,"31' 8.75""",Grinnell Invitational,"Jan 27, 2024"
,"Galowitz, Kylie",SO-2,9.66m,"31' 8.5""",Hilltop Invitational,"Jan 20, 2024"
,"Galowitz, Kylie",SO-2,9.26m,"30' 4.75""",Darren Young Classic,"Feb 10, 2024"
,"Galowitz, Kylie",SO-2,8.81m,"28' 11""",Hilltop Invitational,"Jan 20, 2024"
,"Galowitz, Kylie",SO-2,8.61m,"28' 3""",Darren Young Classic,"Feb 10, 2024"
