#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Taylor, Deanna 2 Taylor, Deanna",2,2,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",88,25,2.0,33.0,0.38,5,0.06,3,14,0.143,10,0.11,28,0.32,39,View Bio
5.0,"Knaack, Monica 5Knaack, Monica",39,13,1.0,3.0,0.08,0,0.0,2,9,-0.222,5,0.13,3,0.08,3,View Bio
6.0,"Batrezchavez, Hazel 6Batrezchavez, Hazel",3,2,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",93,26,12.0,66.0,0.71,30,0.32,16,179,0.078,710,7.63,15,0.16,18,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",11,7,1.0,7.5,0.68,6,0.55,7,26,-0.038,1,0.09,0,0.0,2,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",60,19,8.0,111.0,1.85,92,1.53,62,367,0.082,49,0.82,14,0.23,19,View Bio
11.0,"Weidman, Claire 11Weidman, Claire",97,27,12.0,312.5,3.22,255,2.63,134,811,0.149,14,0.14,36,0.37,35,View Bio
12.0,"Duncombe, Natalie 12Duncombe, Natalie",96,27,11.0,262.5,2.73,236,2.46,112,720,0.172,3,0.03,0,0.0,0,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",97,28,12.0,188.0,1.94,114,1.18,61,340,0.156,4,0.04,28,0.29,29,View Bio
14.0,"Garringer, Sarah 14 Garringer, Sarah",73,23,8.0,129.5,1.77,111,1.52,66,402,0.112,6,0.08,10,0.14,12,View Bio
15.0,"Knatterud-Johnson, Emma 15Knatterud-Johnson, Emma",63,21,1.0,4.0,0.06,1,0.02,4,14,-0.214,7,0.11,3,0.05,20,View Bio
16.0,"Joy, Jennifer 16Joy, Jennifer",9,6,0.0,2.0,0.22,1,0.11,0,4,0.25,2,0.22,1,0.11,2,View Bio
18.0,"Nelson, Liz 18Nelson, Liz",18,9,4.0,22.0,1.22,17,0.94,5,51,0.235,0,0.0,0,0.0,0,View Bio
19.0,"Bull, Ashleigh 19Bull, Ashleigh",1,1,0.0,1.0,1.0,1,1.0,4,12,-0.25,0,0.0,0,0.0,0,View Bio
21.0,"Rasmussen, Rebecca 21Rasmussen, Rebecca",75,23,6.0,91.0,1.21,64,0.85,35,228,0.127,3,0.04,0,0.0,0,View Bio
23.0,"Fujimoto, Lindsay 23Fujimoto, Lindsay",101,28,0.0,23.0,0.23,11,0.11,19,99,-0.081,58,0.57,12,0.12,34,View Bio
24.0,"Hood, Christine 24Hood, Christine",29,13,0.0,1.0,0.03,1,0.03,0,1,1.0,3,0.1,0,0.0,4,View Bio
,Total,101,28,,1257.0,12.45,945,9.36,530,3277,0.127,875,8.66,150,1.49,217,
,Opponents,101,28,,1542.5,15.27,1160,11.49,528,3377,0.187,1085,10.74,216,2.14,237,
