#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
3.0,"Litke, Sidney 3 Litke, Sidney",3,1,0.33,0,2,1.0,0.0,0,0,0.0,0.0,0,0,View Bio
4.0,"McClendon, Sydney 4McClendon, Sydney",22,67,3.05,9,89,0.899,0.41,0,0,0.0,0.0,0,1,View Bio
6.0,"Friedman, Emily 6Friedman, Emily",34,42,1.24,6,54,0.889,0.18,1,4,5.0,0.15,0,2,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",35,87,2.49,0,2,1.0,0.0,6,10,16.0,0.46,0,15,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",30,15,0.5,1,6,0.833,0.03,2,13,15.0,0.5,1,0,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",29,108,3.72,10,154,0.935,0.34,0,0,0.0,0.0,0,0,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",29,15,0.52,0,6,1.0,0.0,7,12,19.0,0.66,1,3,View Bio
14.0,"Garringer, Sarah 14Garringer, Sarah",16,8,0.5,1,4,0.75,0.06,0,7,7.0,0.44,1,0,
16.0,"Joy, Jennifer 16Joy, Jennifer",28,88,3.14,9,115,0.922,0.32,0,0,0.0,0.0,0,0,View Bio
19.0,"Bull, Ashleigh 19Bull, Ashleigh",2,0,0.0,0,1,1.0,0.0,0,0,0.0,0.0,0,0,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",34,67,1.97,5,90,0.944,0.15,1,12,13.0,0.38,0,0,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",26,37,1.42,8,64,0.875,0.31,0,0,0.0,0.0,0,0,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",29,9,0.31,3,6,0.5,0.1,8,18,26.0,0.9,0,2,View Bio
24.0,"Hood, Christine 24Hood, Christine",31,65,2.1,11,95,0.884,0.35,0,0,0.0,0.0,0,1,View Bio
,Total,35,610,17.43,66,692,0.905,1.89,25,76,63.0,1.8,3,24,
,Opponents,35,730,20.86,50,595,0.916,1.43,13,78,52.0,1.49,3,26,
