#,Player,SP,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",36,119,3.31,12,0,0.0,0.33,3,3,6.0,0.17,0,0,View Bio
2.0,"Chulaki, Sonia 2Chulaki, Sonia",2,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
5.0,"Smith, Madison 5Smith, Madison",36,90,2.5,7,0,0.0,0.19,0,0,0.0,0.0,0,2,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",36,114,3.17,0,0,0.0,0.0,2,5,7.0,0.19,0,3,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",36,109,3.03,23,0,0.0,0.64,0,1,1.0,0.03,0,2,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",36,22,0.61,1,0,0.0,0.03,5,14,19.0,0.53,0,1,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",1,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
14.0,"Taylor, Hannah 14Taylor, Hannah",36,11,0.31,0,0,0.0,0.0,1,11,12.0,0.33,0,1,View Bio
19.0,"Hill, Nora 19Hill, Nora",10,2,0.2,0,0,0.0,0.0,1,1,2.0,0.2,0,0,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",36,205,5.69,15,0,0.0,0.42,0,0,0.0,0.0,0,1,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",35,16,0.46,1,0,0.0,0.03,10,5,15.0,0.43,0,1,View Bio
,Total,36,688,19.11,65,0,0.0,1.81,22,40,42.0,1.17,0,12,
,Opponents,36,670,18.61,74,0,0.0,2.06,36,74,73.0,2.03,5,17,
