#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
1.0,"Kuhn, Kaylin 1Kuhn, Kaylin",36,9,5.0,160.5,4.46,140,3.89,62,362,0.215,5,0.14,16,0.44,15,View Bio
2.0,"Chulaki, Sonia 2Chulaki, Sonia",2,2,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
5.0,"Smith, Madison 5Smith, Madison",36,9,5.0,13.0,0.36,5,0.14,2,20,0.15,11,0.31,8,0.22,9,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",36,9,5.0,32.5,0.9,23,0.64,5,84,0.214,336,9.33,5,0.14,12,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",36,9,4.0,54.5,1.51,42,1.17,40,211,0.009,9,0.25,12,0.33,14,View Bio
11.0,"Jensen, Olivia 11Jensen, Olivia",36,9,5.0,125.0,3.47,93,2.58,23,243,0.288,3,0.08,20,0.56,9,View Bio
13.0,"Johnson, Alissa 13Johnson, Alissa",1,1,0.0,0.0,0.0,0,0.0,0,1,0.0,0,0.0,0,0.0,0,View Bio
14.0,"Taylor, Hannah 14Taylor, Hannah",36,9,0.0,39.5,1.1,33,0.92,15,121,0.149,5,0.14,0,0.0,0,View Bio
19.0,"Hill, Nora 19Hill, Nora",10,3,1.0,6.5,0.65,5,0.5,3,38,0.053,2,0.2,0,0.0,0,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",36,9,0.0,18.0,0.5,5,0.14,1,27,0.148,23,0.64,13,0.36,12,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",35,9,5.0,90.5,2.59,78,2.23,33,245,0.184,5,0.14,0,0.0,0,View Bio
,Total,36,9,,540.0,15.0,424,11.78,184,1352,0.178,399,11.08,74,2.06,71,
,Opponents,36,9,,554.0,15.39,416,11.56,188,1375,0.166,393,10.92,65,1.81,62,
