Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
8/31/2018,vs Iowa Wesleyan,W,3,42,16,119,0.218,40,6,10,6,51,2,6,1,5.0,0,53.0
8/31/2018,Anderson,W,3,29,8,73,0.288,23,14,5,6,48,2,16,1,10.0,0,53.0
9/01/2018,vs Greenville,W,3,43,12,95,0.326,39,11,10,0,37,2,12,0,8.0,0,62.0
9/01/2018,vs MacMurray,W,3,43,16,121,0.223,40,8,11,2,61,2,4,0,4.0,0,55.0
9/04/2018,at Simpson,L,5,47,30,160,0.106,46,12,6,10,76,3,12,0,9.0,0,68.0
9/07/2018,Coe College,L,4,52,28,177,0.136,50,5,9,7,83,3,10,1,8.0,7,65.0
9/07/2018,Crown College,W,3,33,9,84,0.286,32,13,14,4,48,0,4,0,2.0,2,48.0
9/08/2018,Buena Vista Univ.,L,5,57,28,210,0.138,53,7,6,4,108,1,4,5,3.0,5,67.0
9/08/2018,Augustana College,L,4,56,18,191,0.199,54,6,9,7,95,4,4,2,6.0,3,68.0
9/11/2018,Faith Baptist Coll.,W,3,38,13,95,0.263,38,15,8,2,60,0,6,0,3.0,1,56.0
9/14/2018,at Trinity Bible,W,3,49,14,96,0.365,49,9,9,2,48,0,0,0,0.0,1,58.0
9/14/2018,Alverno,W,4,41,15,104,0.25,38,9,10,6,59,0,12,0,6.0,2,56.0
9/15/2018,vs Carleton,L,5,61,33,175,0.16,59,16,14,10,82,2,12,3,8.0,1,85.0
9/15/2018,at Macalester,W,5,64,23,175,0.234,59,11,7,5,66,2,6,4,5.0,0,80.0
9/21/2018,vs Nebraska Wesleyan,L,3,32,17,109,0.138,31,1,6,7,53,1,4,0,3.0,0,36.0
9/21/2018,vs Wartburg College,L,3,22,19,98,0.031,21,1,5,11,39,0,4,0,2.0,0,25.0
9/22/2018,vs Augustana College,L,4,44,24,147,0.136,43,5,7,7,77,0,12,0,6.0,2,55.0
9/22/2018,vs UW-River Falls,L,3,31,19,113,0.106,30,2,9,8,74,0,0,0,0.0,0,33.0
9/26/2018,at William Penn,L,3,40,22,129,0.14,37,8,6,4,51,0,8,0,4.0,0,52.0
9/29/2018,Ripon College,W,3,42,16,140,0.186,38,7,5,5,73,3,0,1,3.0,2,52.0
9/29/2018,Central College,L,3,33,15,122,0.148,28,2,4,9,49,3,2,0,4.0,2,39.0
10/02/2018,at Knox College,W,4,52,15,139,0.266,50,9,14,5,68,0,10,0,5.0,3,66.0
10/05/2018,at Lake Forest,L,4,46,21,152,0.164,44,5,8,8,71,3,4,2,5.0,2,56.0
10/06/2018,at Beloit College,W,3,50,20,135,0.222,42,6,8,5,58,1,5,0,3.5,1,59.5
10/12/2018,Monmouth College,W,3,42,19,132,0.174,37,10,11,0,60,2,8,1,6.0,0,58.0
10/13/2018,Illinois College,W,3,35,14,130,0.162,33,6,3,1,61,3,10,1,8.0,1,49.0
10/17/2018,at Cornell College,L,3,42,27,119,0.126,42,1,6,4,53,0,12,1,6.0,1,49.0
10/19/2018,St. Norbert College,W,5,52,23,183,0.158,46,6,8,6,79,2,16,0,10.0,4,68.0
10/20/2018,Lawrence University,W,4,67,27,182,0.22,64,7,9,4,81,1,6,0,4.0,5,78.0
10/26/2018,"at Dubuque, Univ. of",L,4,35,17,153,0.118,32,3,7,12,73,6,0,0,6.0,0,44.0
10/26/2018,at Loras,L,3,22,19,92,0.033,20,7,8,8,36,1,8,1,5.0,1,34.0
10/27/2018,Illinois Tech,W,4,47,32,184,0.082,45,8,7,10,88,5,18,0,14.0,0,69.0
11/02/2018,vs St. Norbert College,L,5,48,23,181,0.138,46,1,3,7,82,1,10,0,6.0,2,55.0
,Grinnell College,,120,1437,652,4515,0.174,1349,237,262,192,2148,55,245,24,177.5,48,1851.5
,Opponents,,120,1337,686,4454,0.146,1261,194,190,234,2129,51,283,35,192.5,77,1723.5
